product,url,price,amount,unit,nutriscore,carbs_100g,protein_100g,fat_100g,alcohol_100g,calories_100g,calories,protein,carbs,fat,alcohol,perc_calories_protein,perc_calories_carbs,perc_calories_fat,perc_calories_alcohol,price_1000_calories,price_100g_protein,price_100g_carbs,price_100g_fat
AH Zaanlander Jong belegen 48+ plakken,https://www.ah.nl/producten/product/wi104394/ah-zaanlander-jong-belegen-48-plakken,3.72,210.0,g,D,0.0,24.0,31.0,0.0,375.0,787.5,50.4,0.0,65.1,0.0,0.256,0.0,0.744,0.0,4.723809523809524,7.380952380952381,inf,5.714285714285714
AH Goudse belegen 48+ geraspt,https://www.ah.nl/producten/product/wi30140/ah-goudse-belegen-48-geraspt,3.79,175.0,g,D,2.0,24.0,31.0,0.0,383.0,670.25,42.0,3.5,54.25,0.0,0.2506527415143603,0.020887728459530026,0.7284595300261096,0.0,5.654606490115628,9.023809523809524,108.28571428571429,6.986175115207374
De Zaanse Hoeve Jong belegen 48+ plakken,https://www.ah.nl/producten/product/wi197227/de-zaanse-hoeve-jong-belegen-48-plakken,4.19,400.0,g,D,0.0,23.0,29.0,0.0,353.0,1412.0,92.0,0.0,116.0,0.0,0.26062322946175637,0.0,0.7393767705382436,0.0,2.9674220963172804,4.554347826086957,inf,3.612068965517242
De Zaanse Hoeve Jong belegen 48+ stuk voordeel,https://www.ah.nl/producten/product/wi447741/de-zaanse-hoeve-jong-belegen-48-stuk-voordeel,8.49,1006.0,g,E,0.0,23.0,31.0,0.0,371.0,3732.26,231.38,0.0,311.86,0.0,0.24797843665768193,0.0,0.7520215633423181,0.0,2.2747611366839395,3.669288616129311,inf,2.7223754248701337
Heks'nkaas Origineel,https://www.ah.nl/producten/product/wi213365/heks-nkaas-origineel,3.39,200.0,g,,9.7,1.9,39.4,0.0,400.99999999999994,801.9999999999999,3.8,19.4,78.8,0.0,0.01895261845386534,0.09675810473815462,0.8842892768079801,0.0,4.2269326683291775,89.21052631578948,17.474226804123713,4.302030456852792
AH Goudse jong 48+ plakken voordeel,https://www.ah.nl/producten/product/wi121178/ah-goudse-jong-48-plakken-voordeel,5.95,400.0,g,D,0.0,23.0,30.0,0.0,362.0,1448.0,92.0,0.0,120.0,0.0,0.2541436464088398,0.0,0.7458563535911602,0.0,4.109116022099448,6.467391304347826,inf,4.958333333333333
AH Goudse jong 48+,https://www.ah.nl/producten/product/wi2600/ah-goudse-jong-48,3.09,190.0,g,D,0.0,23.0,30.0,0.0,362.0,687.8,43.7,0.0,57.0,0.0,0.2541436464088398,0.0,0.7458563535911603,0.0,4.492585053794708,7.0709382151029745,inf,5.421052631578948
AH Biologisch Kipfilet,https://www.ah.nl/producten/product/wi280081/ah-biologisch-kipfilet,3.49,100.0,g,C,2.9,20.0,3.8,0.0,125.79999999999998,125.79999999999998,20.0,2.9,3.8,0.0,0.6359300476947537,0.09220985691573928,0.2718600953895072,0.0,27.74244833068363,17.45,120.3448275862069,91.8421052631579
AH Groene pesto,https://www.ah.nl/producten/product/wi217297/ah-groene-pesto,3.25,90.0,g,D,4.0,6.1,60.0,0.0,580.4,522.36,5.49,3.6,54.0,0.0,0.04203997243280496,0.027567195037904894,0.9303928325292902,0.0,6.22176276897159,59.19854280510018,90.27777777777777,6.018518518518518
AH Goudse jong belegen 48+ plakken voordeel,https://www.ah.nl/producten/product/wi121168/ah-goudse-jong-belegen-48-plakken-voordeel,6.19,400.0,g,D,0.0,24.0,31.0,0.0,375.0,1500.0,96.0,0.0,124.0,0.0,0.256,0.0,0.744,0.0,4.126666666666667,6.447916666666667,inf,4.991935483870968
AH Goudse jong belegen 48+ plakken,https://www.ah.nl/producten/product/wi2601/ah-goudse-jong-belegen-48-plakken,3.25,190.0,g,D,0.0,24.0,31.0,0.0,375.0,712.5,45.6,0.0,58.9,0.0,0.256,0.0,0.744,0.0,4.56140350877193,7.12719298245614,inf,5.517826825127335
AH Zaanlander Jong 48+ plakken,https://www.ah.nl/producten/product/wi104392/ah-zaanlander-jong-48-plakken,3.53,210.0,g,D,0.0,23.0,30.0,0.0,362.0,760.2,48.3,0.0,63.0,0.0,0.25414364640883974,0.0,0.7458563535911602,0.0,4.643514864509339,7.308488612836439,inf,5.603174603174603
AH Gegrilde yorkham,https://www.ah.nl/producten/product/wi197145/ah-gegrilde-yorkham,3.19,110.0,g,D,2.5,18.0,5.5,0.0,131.5,144.65,19.8,2.75,6.05,0.0,0.5475285171102662,0.07604562737642585,0.3764258555133079,0.0,22.053231939163496,16.11111111111111,116.0,52.72727272727273
AH Gerookte kipfilet,https://www.ah.nl/producten/product/wi192859/ah-gerookte-kipfilet,3.49,125.0,g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,inf,inf,inf,inf
Zandvliet Gelderse gekookte worst,https://www.ah.nl/producten/product/wi197430/zandvliet-gelderse-gekookte-worst,3.19,500.0,g,,2.8,10.0,29.0,0.0,312.2,1561.0,50.0,14.0,145.0,0.0,0.12812299807815503,0.03587443946188341,0.8360025624599615,0.0,2.0435618193465728,6.38,22.785714285714285,2.2
Bifi The original 7-pack,https://www.ah.nl/producten/product/wi475409/bifi-the-original-7-pack,3.39,140.0,g,,1.0,25.0,45.0,0.0,509.0,712.6,35.0,1.4,63.0,0.0,0.19646365422396855,0.007858546168958742,0.7956777996070726,0.0,4.75722705585181,9.685714285714285,242.14285714285717,5.380952380952381
Johma Kip-samba salade,https://www.ah.nl/producten/product/wi193451/johma-kip-samba-salade,3.25,175.0,g,,11.6,9.1,31.1,0.0,362.70000000000005,634.725,15.925,20.3,54.425,0.0,0.1003584229390681,0.1279294182519989,0.771712158808933,0.0,5.1203277009728625,20.408163265306122,16.00985221674877,5.971520440973817
AH Rosbief naturel,https://www.ah.nl/producten/product/wi417233/ah-rosbief-naturel,3.39,110.0,g,A,0.0,21.0,3.0,0.0,111.0,122.1,23.1,0.0,3.3,0.0,0.7567567567567568,0.0,0.24324324324324326,0.0,27.764127764127764,14.675324675324674,inf,102.72727272727273
AH Goudse oud 48+ geraspt,https://www.ah.nl/producten/product/wi3853/ah-goudse-oud-48-geraspt,4.19,175.0,g,E,2.0,26.0,34.0,0.0,418.0,731.5,45.5,3.5,59.5,0.0,0.24880382775119617,0.019138755980861243,0.7320574162679426,0.0,5.727956254272044,9.20879120879121,119.71428571428574,7.04201680672269
Babybel Original mini,https://www.ah.nl/producten/product/wi193642/babybel-original-mini,3.89,201.0,l,,0.0,22.0,23.0,0.0,295.0,592.95,44.22,0.0,46.23,0.0,0.29830508474576267,0.0,0.7016949152542372,0.0,6.5604182477443285,8.79692446856626,inf,8.414449491672075
AH Goudse jong komijn 48+ plakken,https://www.ah.nl/producten/product/wi2597/ah-goudse-jong-komijn-48-plakken,3.25,190.0,g,D,0.0,23.0,30.0,0.0,362.0,687.8,43.7,0.0,57.0,0.0,0.2541436464088398,0.0,0.7458563535911603,0.0,4.725210817097994,7.437070938215102,inf,5.701754385964913
AH Goudse belegen 48+ plakken,https://www.ah.nl/producten/product/wi2594/ah-goudse-belegen-48-plakken,3.39,190.0,g,D,0.0,25.0,32.0,0.0,388.0,737.2,47.5,0.0,60.8,0.0,0.25773195876288657,0.0,0.7422680412371133,0.0,4.598480737927292,7.136842105263158,inf,5.5756578947368425
Old Amsterdam Original 8 plakken,https://www.ah.nl/producten/product/wi193636/old-amsterdam-original-8-plakken,4.69,225.0,g,,0.0,26.0,33.0,0.0,401.0,902.25,58.5,0.0,74.25,0.0,0.2593516209476309,0.0,0.7406483790523691,0.0,5.198115821557218,8.017094017094019,inf,6.3164983164983175
Zanetti Parmigiano Reggiano 30+,https://www.ah.nl/producten/product/wi478224/zanetti-parmigiano-reggiano-30,4.09,150.0,g,,0.0,32.0,30.0,0.0,398.0,597.0,48.0,0.0,45.0,0.0,0.32160804020100503,0.0,0.678391959798995,0.0,6.850921273031826,8.520833333333334,inf,9.088888888888889
AH Scharrel kipfilet,https://www.ah.nl/producten/product/wi132220/ah-scharrel-kipfilet,5.69,250.0,g,C,2.0,19.0,4.5,0.0,124.5,311.25,47.5,5.0,11.25,0.0,0.6104417670682731,0.0642570281124498,0.3253012048192771,0.0,18.281124497991968,11.978947368421053,113.8,50.577777777777776
Apetina White cheese herbs & spices,https://www.ah.nl/producten/product/wi36874/apetina-white-cheese-herbs-en-spices,3.09,265.0,g,,0.5,10.0,55.0,0.0,537.0,1423.05,26.5,1.325,145.75,0.0,0.074487895716946,0.0037243947858473,0.9217877094972068,0.0,2.1713924317487088,11.660377358490566,233.20754716981133,2.1200686106346485
De Zaanse Hoeve Jong 48+ stuk voordeel,https://www.ah.nl/producten/product/wi447758/de-zaanse-hoeve-jong-48-stuk-voordeel,7.25,902.0,g,E,0.0,23.0,30.0,0.0,362.0,3265.24,207.46,0.0,270.6,0.0,0.2541436464088398,0.0,0.7458563535911603,0.0,2.2203574622386104,3.4946495710016388,inf,2.679231337767923
AH Goudse belegen 48+ plakken voordeel,https://www.ah.nl/producten/product/wi128799/ah-goudse-belegen-48-plakken-voordeel,6.19,400.0,g,D,0.0,25.0,32.0,0.0,388.0,1552.0,100.0,0.0,128.0,0.0,0.25773195876288657,0.0,0.7422680412371134,0.0,3.98840206185567,6.19,inf,4.8359375
AH Biologisch Yorkham,https://www.ah.nl/producten/product/wi167905/ah-biologisch-yorkham,3.59,100.0,g,D,1.6,19.0,7.3,0.0,148.10000000000002,148.10000000000002,19.0,1.6,7.3,0.0,0.5131667792032409,0.04321404456448345,0.4436191762322754,0.0,24.240378122889936,18.894736842105264,224.375,49.178082191780824
Milner Jong 30+ plakken,https://www.ah.nl/producten/product/wi421259/milner-jong-30-plakken,3.49,175.0,g,,0.0,29.0,18.0,0.0,278.0,486.5,50.75,0.0,31.5,0.0,0.4172661870503597,0.0,0.5827338129496403,0.0,7.1736896197327855,6.876847290640394,inf,11.079365079365079
AH Guacamole,https://www.ah.nl/producten/product/wi217356/ah-guacamole,3.25,175.0,g,A,4.0,2.0,18.0,0.0,186.0,325.5,3.5,7.0,31.5,0.0,0.043010752688172046,0.08602150537634409,0.8709677419354839,0.0,9.98463901689708,92.85714285714286,46.42857142857143,10.317460317460318
AH Goudse jong 48+ geraspt,https://www.ah.nl/producten/product/wi46564/ah-goudse-jong-48-geraspt,3.45,175.0,g,D,2.0,23.0,30.0,0.0,370.0,647.5,40.25,3.5,52.5,0.0,0.24864864864864866,0.021621621621621623,0.7297297297297297,0.0,5.328185328185328,8.571428571428571,98.57142857142857,6.571428571428571
AH Greenfields Runderrookvlees,https://www.ah.nl/producten/product/wi188751/ah-greenfields-runderrookvlees,3.19,100.0,g,D,0.8,23.0,2.0,0.0,113.2,113.2,23.0,0.8,2.0,0.0,0.8127208480565371,0.028268551236749116,0.15901060070671377,0.0,28.180212014134273,13.869565217391305,398.75,159.5
De Zaanse Hoeve Belegen 48+ stuk voordeel,https://www.ah.nl/producten/product/wi454163/de-zaanse-hoeve-belegen-48-stuk-voordeel,8.65,973.0,g,D,0.0,24.0,32.0,0.0,384.0,3736.32,233.52,0.0,311.36,0.0,0.25,0.0,0.75,0.0,2.3151121959575196,3.7041795135320315,inf,2.7781346351490237
Milner Oud 30+ plakken,https://www.ah.nl/producten/product/wi421292/milner-oud-30-plakken,3.89,150.0,g,,0.0,32.0,20.0,0.0,308.0,462.0,48.0,0.0,30.0,0.0,0.4155844155844156,0.0,0.5844155844155844,0.0,8.41991341991342,8.104166666666666,inf,12.966666666666667
AH Goudse jong 48+ stuk,https://www.ah.nl/producten/product/wi486696/ah-goudse-jong-48-stuk,7.62,545.0,g,D,0.0,23.0,30.0,0.0,362.0,1972.9,125.35,0.0,163.5,0.0,0.25414364640883974,0.0,0.7458563535911602,0.0,3.862334634294693,6.078978859194256,inf,4.660550458715596
AH Spaanse fuet,https://www.ah.nl/producten/product/wi217287/ah-spaanse-fuet,3.25,90.0,g,E,3.0,31.0,31.0,0.0,415.0,373.5,27.9,2.7,27.9,0.0,0.2987951807228916,0.02891566265060241,0.672289156626506,0.0,8.701472556894243,11.648745519713263,120.37037037037037,11.648745519713263
De Zaanse Hoeve Belegen 30+ plakken,https://www.ah.nl/producten/product/wi197207/de-zaanse-hoeve-belegen-30-plakken,3.89,300.0,g,D,0.0,32.0,20.0,0.0,308.0,924.0,96.0,0.0,60.0,0.0,0.4155844155844156,0.0,0.5844155844155844,0.0,4.20995670995671,4.052083333333333,inf,6.483333333333333
AH Gegrilde beenham,https://www.ah.nl/producten/product/wi440333/ah-gegrilde-beenham,3.17,110.0,g,D,1.0,21.0,8.0,0.0,160.0,176.0,23.1,1.1,8.8,0.0,0.525,0.025,0.45,0.0,18.011363636363637,13.722943722943722,288.18181818181813,36.022727272727266
AH Zaanlander Belegen 48+ plakken,https://www.ah.nl/producten/product/wi104395/ah-zaanlander-belegen-48-plakken,4.38,225.0,g,D,0.0,25.0,32.0,0.0,388.0,873.0,56.25,0.0,72.0,0.0,0.25773195876288657,0.0,0.7422680412371134,0.0,5.017182130584192,7.786666666666667,inf,6.083333333333333
AH Carpaccio,https://www.ah.nl/producten/product/wi420934/ah-carpaccio,3.19,120.0,g,D,1.3,18.0,8.5,0.0,153.7,184.44,21.6,1.56,10.2,0.0,0.4684450227716331,0.03383214053350683,0.4977228366948601,0.0,17.29559748427673,14.768518518518517,204.48717948717947,31.27450980392157
AH Goudse belegen geraspt voordeel,https://www.ah.nl/producten/product/wi138205/ah-goudse-belegen-geraspt-voordeel,5.89,300.0,g,D,2.0,24.0,31.0,0.0,383.0,1149.0,72.0,6.0,93.0,0.0,0.2506527415143603,0.020887728459530026,0.7284595300261096,0.0,5.126196692776327,8.180555555555555,98.16666666666667,6.333333333333333
AH Biologisch Achterham,https://www.ah.nl/producten/product/wi281469/ah-biologisch-achterham,3.49,100.0,g,D,1.7,20.0,7.7,0.0,156.1,156.1,20.0,1.7,7.7,0.0,0.5124919923126201,0.04356181934657271,0.4439461883408072,0.0,22.35746316463805,17.45,205.29411764705884,45.324675324675326
Grand' Italia Pesto alla Genovese,https://www.ah.nl/producten/product/wi63230/grand-italia-pesto-alla-genovese,3.25,185.0,g,,9.6,5.4,41.0,0.0,429.0,793.65,9.990000000000002,17.76,75.85,0.0,0.05034965034965036,0.08951048951048952,0.8601398601398601,0.0,4.095004095004095,32.53253253253253,18.29954954954955,4.284772577455505
Johma Kip-sat salade,https://www.ah.nl/producten/product/wi211721/johma-kip-sat-salade,3.15,175.0,g,,16.3,9.4,22.3,0.0,303.5,531.125,16.45,28.525,39.025,0.0,0.12388797364085667,0.21482701812191102,0.6612850082372322,0.0,5.930807248764415,19.148936170212767,11.042944785276074,8.071748878923767
Beemster Jong belegen plakken voordeel,https://www.ah.nl/producten/product/wi419552/beemster-jong-belegen-plakken-voordeel,4.29,250.0,g,,0.0,24.8,31.3,0.0,380.9,952.25,62.0,0.0,78.25,0.0,0.26043580992386456,0.0,0.7395641900761355,0.0,4.505119453924915,6.919354838709677,inf,5.482428115015974
Milner Komijn 30+ plakken,https://www.ah.nl/producten/product/wi421273/milner-komijn-30-plakken,3.75,175.0,g,,0.0,28.0,17.0,0.0,265.0,463.75,49.0,0.0,29.75,0.0,0.4226415094339623,0.0,0.5773584905660377,0.0,8.086253369272237,7.653061224489796,inf,12.605042016806722
Johma Zalm salade,https://www.ah.nl/producten/product/wi197614/johma-zalm-salade,3.59,175.0,g,,2.2,10.7,39.4,0.0,406.19999999999993,710.8499999999999,18.724999999999998,3.8500000000000005,68.95,0.0,0.10536681437715412,0.02166420482520926,0.8729689807976369,0.0,5.050291904058522,19.17222963951936,93.24675324675323,5.206671501087745
Dodoni Halloumi,https://www.ah.nl/producten/product/wi223416/dodoni-halloumi,3.69,225.0,g,,2.0,23.0,24.0,0.0,316.0,711.0,51.75,4.5,54.0,0.0,0.2911392405063291,0.02531645569620253,0.6835443037974683,0.0,5.189873417721519,7.130434782608695,82.0,6.833333333333333
AH Goudse jong belegen 48+ stuk,https://www.ah.nl/producten/product/wi486703/ah-goudse-jong-belegen-48-stuk,7.84,535.0,g,D,0.0,24.0,31.0,0.0,375.0,2006.25,128.4,0.0,165.85,0.0,0.256,0.0,0.7439999999999999,0.0,3.9077881619937695,6.105919003115265,inf,4.727163099186011
AH Goudse jong belegen 30+ geraspt,https://www.ah.nl/producten/product/wi130834/ah-goudse-jong-belegen-30-geraspt,3.25,150.0,g,D,2.0,28.0,17.0,0.0,273.0,409.5,42.0,3.0,25.5,0.0,0.41025641025641024,0.029304029304029304,0.5604395604395604,0.0,7.936507936507937,7.738095238095238,108.33333333333333,12.745098039215685
Maaslander Jong 50+ plakken,https://www.ah.nl/producten/product/wi494282/maaslander-jong-50-plakken,3.19,200.0,g,,0.0,22.6,32.5,0.0,382.9,765.8,45.2,0.0,65.0,0.0,0.23609297466701493,0.0,0.7639070253329852,0.0,4.165578480020893,7.057522123893805,inf,4.907692307692308
Johma Oudekaas salade,https://www.ah.nl/producten/product/wi193450/johma-oudekaas-salade,3.09,175.0,g,,5.4,8.2,43.3,0.0,444.09999999999997,777.175,14.349999999999998,9.450000000000001,75.77499999999999,0.0,0.07385723936050438,0.048637694213015094,0.8775050664264804,0.0,3.975938495190916,21.53310104529617,32.698412698412696,4.077862091718905
De Zaanse Hoeve Jong 30+ plakken,https://www.ah.nl/producten/product/wi236957/de-zaanse-hoeve-jong-30-plakken,3.49,300.0,g,D,0.0,30.0,18.0,0.0,282.0,846.0,90.0,0.0,54.0,0.0,0.425531914893617,0.0,0.574468085106383,0.0,4.125295508274232,3.8777777777777778,inf,6.462962962962963
AH Zaanlander Jong belegen 35+ plakken,https://www.ah.nl/producten/product/wi320085/ah-zaanlander-jong-belegen-35-plakken,3.16,170.0,g,D,0.0,26.0,20.0,0.0,284.0,482.8,44.2,0.0,34.0,0.0,0.36619718309859156,0.0,0.6338028169014084,0.0,6.545153272576636,7.149321266968325,inf,9.294117647058824
AH Biologisch Gerookte kipfilet,https://www.ah.nl/producten/product/wi171483/ah-biologisch-gerookte-kipfilet,3.49,100.0,g,C,1.8,21.0,3.8,0.0,125.4,125.4,21.0,1.8,3.8,0.0,0.6698564593301435,0.05741626794258373,0.2727272727272727,0.0,27.830940988835724,16.61904761904762,193.88888888888889,91.8421052631579
AH Biologisch Jong belegen 50+ plakken,https://www.ah.nl/producten/product/wi185784/ah-biologisch-jong-belegen-50-plakken,3.86,210.0,g,D,0.0,26.0,32.0,0.0,392.0,823.2,54.6,0.0,67.2,0.0,0.2653061224489796,0.0,0.7346938775510204,0.0,4.689018464528669,7.069597069597069,inf,5.744047619047619
Johma Oudekaas-pesto salade,https://www.ah.nl/producten/product/wi413087/johma-oudekaas-pesto-salade,3.59,175.0,g,,4.1,5.4,60.1,0.0,578.9,1013.075,9.450000000000001,7.174999999999999,105.175,0.0,0.03731214372084989,0.0283295906028675,0.9343582656762826,0.0,3.5436665597315105,37.98941798941799,50.03484320557492,3.413358687901117
Johma Beenham salade,https://www.ah.nl/producten/product/wi184625/johma-beenham-salade,3.09,175.0,g,,7.9,5.4,31.3,0.0,334.9,586.0749999999999,9.450000000000001,13.825,54.775,0.0,0.06449686473574202,0.09435652433562258,0.8411466109286354,0.0,5.272362752207482,32.698412698412696,22.350813743218808,5.641259698767686
Beemster Belegen plakken voordeel,https://www.ah.nl/producten/product/wi419553/beemster-belegen-plakken-voordeel,4.39,250.0,g,,0.0,25.2,31.8,0.0,387.0,967.5,63.0,0.0,79.5,0.0,0.26046511627906976,0.0,0.7395348837209302,0.0,4.537467700258398,6.9682539682539675,inf,5.522012578616351
Dodoni Feta cheese,https://www.ah.nl/producten/product/wi67674/dodoni-feta-cheese,3.39,200.0,g,,0.0,17.0,21.0,0.0,257.0,514.0,34.0,0.0,42.0,0.0,0.26459143968871596,0.0,0.7354085603112841,0.0,6.595330739299611,9.970588235294118,inf,8.071428571428571
AH Biologisch Jong 50+ plakken,https://www.ah.nl/producten/product/wi185803/ah-biologisch-jong-50-plakken,3.49,190.0,g,D,0.0,22.0,31.0,0.0,367.0,697.3,41.8,0.0,58.9,0.0,0.23978201634877383,0.0,0.7602179836512263,0.0,5.005019360390077,8.349282296650719,inf,5.925297113752122
AH Scharrel kipfilet provenciale kruiden,https://www.ah.nl/producten/product/wi316881/ah-scharrel-kipfilet-provenciale-kruiden,3.29,125.0,g,C,1.7,19.0,2.3,0.0,103.5,129.375,23.75,2.125,2.875,0.0,0.7342995169082126,0.06570048309178744,0.2,0.0,25.429951690821255,13.852631578947369,154.8235294117647,114.43478260869566
Maaslander Jong belegen 50+ plakken,https://www.ah.nl/producten/product/wi494287/maaslander-jong-belegen-50-plakken,3.29,200.0,g,,0.0,23.2,33.3,0.0,392.5,785.0,46.4,0.0,66.6,0.0,0.23643312101910827,0.0,0.7635668789808917,0.0,4.191082802547771,7.0905172413793105,inf,4.93993993993994
AH Parmigiano Reggiano DOP 32+,https://www.ah.nl/producten/product/wi163822/ah-parmigiano-reggiano-dop-32,5.2,165.0,g,D,0.0,32.0,30.0,0.0,398.0,656.7,52.8,0.0,49.5,0.0,0.321608040201005,0.0,0.6783919597989949,0.0,7.918379777676259,9.84848484848485,inf,10.505050505050505
AH Biologisch Griekse feta,https://www.ah.nl/producten/product/wi497552/ah-biologisch-griekse-feta,3.39,150.0,g,D,0.5,16.0,23.0,0.0,273.0,409.5,24.0,0.75,34.5,0.0,0.23443223443223443,0.007326007326007326,0.7582417582417582,0.0,8.27838827838828,14.125,452.0,9.826086956521738
Milner Extra belegen 30+ plakken,https://www.ah.nl/producten/product/wi421263/milner-extra-belegen-30-plakken,3.79,175.0,g,,0.0,31.0,20.0,0.0,304.0,532.0,54.25,0.0,35.0,0.0,0.40789473684210525,0.0,0.5921052631578947,0.0,7.12406015037594,6.986175115207374,inf,10.82857142857143
AH Biologisch Basilicum pesto,https://www.ah.nl/producten/product/wi238641/ah-biologisch-basilicum-pesto,3.25,80.0,g,D,4.8,7.0,47.0,0.0,470.2,376.16,5.6,3.84,37.6,0.0,0.05954912803062526,0.04083368779242875,0.899617184176946,0.0,8.639940450871968,58.03571428571429,84.63541666666667,8.643617021276595
AH Scharrel roasted kipfilet flinterdun,https://www.ah.nl/producten/product/wi540130/ah-scharrel-roasted-kipfilet-flinterdun,3.19,110.0,g,C,2.0,24.0,2.6,0.0,127.4,140.14,26.4,2.2,2.86,0.0,0.7535321821036107,0.06279434850863423,0.1836734693877551,0.0,22.76295133437991,12.083333333333334,145.0,111.53846153846155
AH Zaanlander Oud 48+ plakken,https://www.ah.nl/producten/product/wi104393/ah-zaanlander-oud-48-plakken,4.29,180.0,g,E,0.0,27.0,35.0,0.0,423.0,761.4,48.6,0.0,63.0,0.0,0.25531914893617025,0.0,0.7446808510638299,0.0,5.634357762017337,8.82716049382716,inf,6.809523809523809
AH Truffelsalami met Parmezaanse kaas,https://www.ah.nl/producten/product/wi408872/ah-truffelsalami-met-parmezaanse-kaas,3.25,60.0,g,E,2.0,23.0,35.0,0.0,415.0,249.0,13.8,1.2,21.0,0.0,0.22168674698795182,0.019277108433734938,0.7590361445783133,0.0,13.052208835341366,23.550724637681157,270.83333333333337,15.476190476190476
AH Excellent Fuet Iberico,https://www.ah.nl/producten/product/wi218139/ah-excellent-fuet-iberico,3.69,150.0,g,E,2.0,27.0,38.0,0.0,458.0,687.0,40.5,3.0,57.0,0.0,0.23580786026200873,0.017467248908296942,0.7467248908296943,0.0,5.37117903930131,9.11111111111111,123.0,6.473684210526316
Milner Belegen 30+ plakken,https://www.ah.nl/producten/product/wi421265/milner-belegen-30-plakken,3.69,175.0,g,,0.0,30.0,19.0,0.0,291.0,509.25,52.5,0.0,33.25,0.0,0.41237113402061853,0.0,0.5876288659793815,0.0,7.2459499263622975,7.0285714285714285,inf,11.097744360902256
AH Goudse extra belegen 48+ plakken,https://www.ah.nl/producten/product/wi2595/ah-goudse-extra-belegen-48-plakken,3.55,190.0,g,E,0.0,26.0,33.0,0.0,401.0,761.9,49.4,0.0,62.7,0.0,0.2593516209476309,0.0,0.7406483790523692,0.0,4.659404121275758,7.186234817813766,inf,5.6618819776714515
Old Amsterdam Original 35+ plakken,https://www.ah.nl/producten/product/wi223414/old-amsterdam-original-35-plakken,3.29,140.0,g,,0.0,29.4,23.5,0.0,329.1,460.74,41.16,0.0,32.9,0.0,0.357338195077484,0.0,0.6426618049225159,0.0,7.140686721361289,7.993197278911565,inf,10.0
AH Italiaanse grana padano 32+ stuk,https://www.ah.nl/producten/product/wi462470/ah-italiaanse-grana-padano-32-stuk,3.79,200.0,g,E,0.0,33.0,29.0,0.0,393.0,786.0,66.0,0.0,58.0,0.0,0.33587786259541985,0.0,0.6641221374045801,0.0,4.821882951653944,5.742424242424242,inf,6.5344827586206895
AH Biologisch Geraspte belegen kaas 50+,https://www.ah.nl/producten/product/wi165625/ah-biologisch-geraspte-belegen-kaas-50,3.89,150.0,g,D,0.0,27.0,33.0,0.0,405.0,607.5,40.5,0.0,49.5,0.0,0.26666666666666666,0.0,0.7333333333333333,0.0,6.403292181069959,9.604938271604938,inf,7.858585858585859
Westland Rundvlees slaatje,https://www.ah.nl/producten/product/wi164341/westland-rundvlees-slaatje,3.49,563.0,g,,11.6,3.4,13.4,0.0,180.60000000000002,1016.7780000000001,19.142,65.308,75.442,0.0,0.07530454042081948,0.25692137320044295,0.6677740863787374,0.0,3.4324110081059973,18.232159648939504,5.343908862620199,4.626070358686143
Apetina White cheese in brine 50% less fat,https://www.ah.nl/producten/product/wi122566/apetina-white-cheese-in-brine-50-less-fat,3.15,200.0,g,,0.5,17.0,10.0,0.0,160.0,320.0,34.0,1.0,20.0,0.0,0.425,0.0125,0.5625,0.0,9.84375,9.264705882352942,315.0,15.75
Beemster Jong plakken voordeel,https://www.ah.nl/producten/product/wi478225/beemster-jong-plakken-voordeel,4.19,250.0,g,,0.0,24.4,30.8,0.0,374.79999999999995,936.9999999999999,61.0,0.0,77.0,0.0,0.2604055496264675,0.0,0.7395944503735327,0.0,4.4717182497331915,6.868852459016394,inf,5.441558441558442
Milner Jong belegen 20+ plakken,https://www.ah.nl/producten/product/wi444881/milner-jong-belegen-20-plakken,3.09,175.0,g,,0.0,31.0,12.0,0.0,232.0,406.0,54.25,0.0,21.0,0.0,0.5344827586206896,0.0,0.46551724137931033,0.0,7.610837438423645,5.695852534562212,inf,14.714285714285714
AH Biologisch Jong belegen 50+ stuk,https://www.ah.nl/producten/product/wi163846/ah-biologisch-jong-belegen-50-stuk,6.59,380.0,g,D,0.0,26.0,32.0,0.0,392.0,1489.6,98.8,0.0,121.6,0.0,0.2653061224489796,0.0,0.7346938775510203,0.0,4.424006444683137,6.67004048582996,inf,5.4194078947368425
AH Goudse belegen 48+ stuk,https://www.ah.nl/producten/product/wi486697/ah-goudse-belegen-48-stuk,8.51,550.0,g,D,0.0,25.0,32.0,0.0,388.0,2134.0,137.5,0.0,176.0,0.0,0.25773195876288657,0.0,0.7422680412371134,0.0,3.987816307403936,6.189090909090909,inf,4.8352272727272725
De Zaanse Hoeve Extra belegen 48+ stuk,https://www.ah.nl/producten/product/wi454058/de-zaanse-hoeve-extra-belegen-48-stuk,4.75,464.0,g,D,0.0,25.0,33.0,0.0,397.0,1842.08,116.0,0.0,153.12,0.0,0.2518891687657431,0.0,0.7481108312342569,0.0,2.5786067923217235,4.094827586206897,inf,3.1021421107628004
AH Goudse jong 48+ blokjes,https://www.ah.nl/producten/product/wi94767/ah-goudse-jong-48-blokjes,3.39,200.0,g,D,0.0,23.0,30.0,0.0,362.0,724.0,46.0,0.0,60.0,0.0,0.2541436464088398,0.0,0.7458563535911602,0.0,4.68232044198895,7.369565217391305,inf,5.65
