product,url,price,amount,unit,nutriscore,carbs_100g,protein_100g,fat_100g,alcohol_100g,calories_100g,calories,protein,carbs,fat,alcohol,perc_calories_protein,perc_calories_carbs,perc_calories_fat,perc_calories_alcohol,price_1000_calories,price_100g_protein,price_100g_carbs,price_100g_fat
AH Fibre flakes & fruit,https://www.ah.nl/producten/product/wi130343/ah-fibre-flakes-en-fruit,1.99,500.0,g,C,63.0,10.0,6.0,0.0,346.0,1730.0,50.0,315.0,30.0,0.0,0.11560693641618497,0.7283236994219653,0.15606936416184972,0.0,1.1502890173410405,3.98,0.6317460317460317,6.633333333333334
Nairn's Volkoren zadencrackers glutenvrij,https://www.ah.nl/producten/product/wi407843/nairn-s-volkoren-zadencrackers-glutenvrij,2.35,137.0,g,,53.7,12.1,19.2,0.0,436.0,597.32,16.577,73.569,26.304000000000002,0.0,0.11100917431192661,0.4926605504587156,0.3963302752293578,0.0,3.9342396035625793,14.176268323580864,3.194280199540567,8.934002433090024
AH Glutenvrij Cornflakes,https://www.ah.nl/producten/product/wi494097/ah-glutenvrij-cornflakes,1.29,200.0,g,A,80.0,8.0,1.0,0.0,361.0,722.0,16.0,160.0,2.0,0.0,0.0886426592797784,0.8864265927977839,0.024930747922437674,0.0,1.7867036011080333,8.0625,0.80625,64.5
AH Hagelslag melk,https://www.ah.nl/producten/product/wi32784/ah-hagelslag-melk,1.59,250.0,g,E,67.0,6.8,17.0,0.0,448.2,1120.5,17.0,167.5,42.5,0.0,0.0606871932173137,0.5979473449352968,0.3413654618473896,0.0,1.4190093708165998,9.352941176470589,0.9492537313432836,3.7411764705882353
Hero Zonder stukjes aardbeien,https://www.ah.nl/producten/product/wi513313/hero-zonder-stukjes-aardbeien,1.99,270.0,g,,48.0,0.5,0.2,0.0,195.8,528.66,1.35,129.6,0.54,0.0,0.01021450459652707,0.9805924412665986,0.009193054136874363,0.0,3.7642341013127534,147.4074074074074,1.5354938271604939,368.5185185185185
Smaakt Tarwezemelen,https://www.ah.nl/producten/product/wi469675/smaakt-tarwezemelen,0.99,200.0,g,,20.0,17.0,5.1,0.0,193.9,387.8,34.0,40.0,10.2,0.0,0.35069623517276943,0.4125838060856111,0.23671995874161939,0.0,2.552862300154719,2.911764705882353,2.475,9.705882352941178
Smaakt Volkoren havervlokken,https://www.ah.nl/producten/product/wi225012/smaakt-volkoren-havervlokken,2.35,500.0,g,,61.0,13.0,7.3,0.0,361.7,1808.5,65.0,305.0,36.5,0.0,0.14376555156206802,0.6745922034835499,0.18164224495438208,0.0,1.2994194083494608,3.6153846153846154,0.7704918032786885,6.438356164383562
Pasta Choca Melk,https://www.ah.nl/producten/product/wi450960/pasta-choca-melk,2.19,380.0,g,,48.0,5.0,39.0,0.0,563.0,2139.4,19.0,182.4,148.2,0.0,0.035523978685612786,0.3410301953818828,0.6234458259325044,0.0,1.0236514910722632,11.526315789473685,1.200657894736842,1.4777327935222673
AH Strooifeest brownies bites,https://www.ah.nl/producten/product/wi479578/ah-strooifeest-brownies-bites,1.99,200.0,g,E,55.0,5.9,27.0,0.0,486.6,973.2,11.8,110.0,54.0,0.0,0.04849979449239622,0.4521167283189478,0.49938347718865594,0.0,2.044800657624332,16.864406779661017,1.809090909090909,3.685185185185185
Nairn's Wholegrain cheese cracker,https://www.ah.nl/producten/product/wi494407/nairn-s-wholegrain-cheese-cracker,2.29,137.0,g,,50.2,16.1,20.4,0.0,448.80000000000007,614.8560000000001,22.057000000000002,68.774,27.947999999999997,0.0,0.14349376114081996,0.44741532976827086,0.409090909090909,0.0,3.724449301950375,10.382191594505144,3.32974670660424,8.193788464290826
Lotus Biscoff the original speculoos pasta,https://www.ah.nl/producten/product/wi474663/lotus-biscoff-the-original-speculoos-pasta,1.89,200.0,g,,57.0,2.9,38.1,0.0,582.5,1165.0,5.8,114.0,76.2,0.0,0.019914163090128754,0.39141630901287555,0.5886695278969958,0.0,1.6223175965665235,32.58620689655172,1.6578947368421053,2.4803149606299213
Leentjes Anijs pret,https://www.ah.nl/producten/product/wi519393/leentjes-anijs-pret,2.15,200.0,g,,89.3,2.0,0.2,0.0,367.0,734.0,4.0,178.6,0.4,0.0,0.021798365122615803,0.9732970027247956,0.004904632152588556,0.0,2.9291553133514987,53.75,1.2038073908174693,537.5
AH Krokante Muesli Rozijn,https://www.ah.nl/producten/product/wi470999/ah-krokante-muesli-rozijn,2.49,800.0,g,C,56.0,8.8,15.0,0.0,394.2,3153.6,70.4,448.0,120.0,0.0,0.08929477422628108,0.5682394723490614,0.34246575342465757,0.0,0.7895738203957382,3.5369318181818183,0.5558035714285715,2.075
AH Glutenvrij Muesli,https://www.ah.nl/producten/product/wi443276/ah-glutenvrij-muesli,2.59,450.0,g,A,55.0,18.0,13.0,0.0,409.0,1840.5,81.0,247.5,58.5,0.0,0.17603911980440098,0.5378973105134475,0.2860635696821516,0.0,1.4072262972018472,3.197530864197531,1.0464646464646465,4.427350427350428
