Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,1.00,AH Ginger power,"125 mlNormale prijs per LT € 8,00",Nutri-Score D,False,True,,,0.5 g,150 kJ (35 kcal),,,,8.1 g,,,,,,0 g,,,,,,,,9.1 mg,,,,0.5 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,0.99,AH Knoflook gemalen poeder,"70 gPrijs per KG € 14,14",Nutri-Score D,True,True,,,18 g,1550 kJ (365 kcal),,,,71 g,,,,,,0.6 g,,,,,,,,,,,,2 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,2.00,AH Bananen chips,"200 gNormale prijs per KG € 10,00",Nutri-Score D,False,True,,,3.9 g,2054 kJ (492 kcal),,,,57 g,,,,,,27 g,,,,,,,,,,,,2.5 g,,,0 g,,27 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,1.15,AH Onion rings,"125 gPrijs per KG € 9,20",Nutri-Score D,True,True,,,7.5 g,2190 kJ (524 kcal),,,,57 g,,,,,,29 g,,,,,,,,,,,,2.5 g,,,25 g,,3.8 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,2.69,AH Biologisch Bananenchips,"250 gPrijs per KG € 10,76",Nutri-Score D,False,True,,,2 g,2220 kJ (535 kcal),,,,54 g,,,,,,33 g,,,,,,,,,,,,6 g,,,2.5 g,,31 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ad,1.89,AH Chia smoothie sinaasappel mango maracuja,"250 mlPrijs per LT € 7,56",Nutri-Score D,False,True,,,0.6 g,255 kJ (60 kcal),,,,12 g,,,,,,0.9 g,,,,,,,,23.5 mg,,,,0.9 g,,,0.7 g,,0.2 g,,,
