Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap sinaasappel kiwi,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.8 g,165 kJ (39 kcal),,,,8.5 g,,,,,,0 g,,,,,,,,53 mg,,,,0.9 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.99,AH Biologisch Rozijnen,"250 gPrijs per KG € 11,96",Nutri-Score C,True,True,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,4.99,AH Biologisch Mango,"200 gPrijs per KG € 24,95",Nutri-Score C,False,True,,,2 g,1445 kJ (340 kcal),,,,79 g,,,,,,0.9 g,,,,,,,,,,,,4.5 g,,,0.5 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap appel gember,"0,5 lPrijs per LT € 4,58",Nutri-Score C,False,False,,,0.2 g,167 kJ (39 kcal),,,,9.5 g,,,,,,0 g,,,,,,,,5.79 mg,,,,0.2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap munt peer mango,"500 mlPrijs per LT € 4,58",Nutri-Score C,True,True,,,0.3 g,193 kJ (45 kcal),,,,11 g,,,,,,0 g,,,,,,,,8 mg,,,,0.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.49,AH Vers sap appel peer framboos,"1 lPrijs per LT € 3,49",Nutri-Score C,True,True,,,0.3 g,181 kJ (43 kcal),,,,10 g,,,,,,0 g,,,,,,,,,,,,0.7 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap blauwe bes limoen appel,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.2 g,177 kJ (42 kcal),,,,10 g,,,,,,0 g,,,,,,,,9.3 mg,,,,0.4 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.99,AH Paprikasoep verspakket,per stuk,Nutri-Score C,True,True,,,0.6 g,141 kJ (34 kcal),,,,2.7 g,,,,,,2.1 g,,,,,,,,,,,,0.9 g,,,1.6 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.29,AH Vers sap braam zwarte bes,"500 mlPrijs per LT € 4,58",Nutri-Score C,False,True,,,0.5 g,217 kJ (51 kcal),,,,12 g,,,,,,0 g,,,,,,,,24 mg,,,,0.6 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.29,AH Blanke rozijnen,"500 gPrijs per KG € 6,58",Nutri-Score C,True,True,,,2 g,1240 kJ (290 kcal),,,,69 g,,,,,,0.4 g,,,,,,,,,,,,2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.69,AH Smoothie aardbei banaan appel,"1 lPrijs per LT € 3,69",Nutri-Score C,True,True,,,0.5 g,221 kJ (52 kcal),,,,12 g,,,,,,0 g,,,,,,,,18 mg,,,,1.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.49,AH Biologisch Appelchips,"75 gPrijs per KG € 33,20",Nutri-Score C,False,True,,,1.5 g,1505 kJ (355 kcal),,,,79 g,,,,,,0.7 g,,,,,,,,,,,,14 g,,,0.5 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,4.99,AH Biologisch Dadels,"500 gPrijs per KG € 9,98",Nutri-Score C,False,True,,,2.4 g,1202 kJ (284 kcal),,,,62 g,,,,,,0.3 g,,,,,,,,,,,,12 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.89,AH Vers groentesap rode biet appel,"250 mlPrijs per LT € 7,56",Nutri-Score C,False,True,,,0.3 g,169 kJ (40 kcal),,,,9.6 g,,,,,,0 g,,,,,,,,12 mg,,,,0.1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.39,AH Vegan zeewiersalade wakame,"100 gPrijs per KG € 23,90",Nutri-Score C,True,True,,,1.5 g,439 kJ (105 kcal),,,,11 g,,,,,,5.2 g,,,,,,,,,,,,4.3 g,,,4.4 g,,0.8 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.99,AH Gedroogde mango,"150 gPrijs per KG € 19,93",Nutri-Score C,False,False,0 g,,2 g,1347 kJ (318 kcal),,,,73 g,,,,,,0 g,,,,,,,,,,,,9 g,0 g,0 g,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.79,AH Gegrilde artisjok in olie,"180 gPrijs per KG € 15,50",Nutri-Score C,True,True,,,1.2 g,447 kJ (107 kcal),,,,11 g,,,,,,5.7 g,,,,,,,,,,,,3.6 g,,,5.1 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.59,AH Biologisch Moerbeien,"150 gPrijs per KG € 17,27",Nutri-Score C,False,True,,,3 g,1455 kJ (345 kcal),,,,73 g,,,,,,2 g,,,,,,,,,,,,11 g,,,1 g,,0.9 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.29,AH Biologisch Fruit & pitten mix,"300 gPrijs per KG € 10,97",Nutri-Score C,False,True,,,8.9 g,1840 kJ (440 kcal),,,,53 g,,,,,,20 g,,,,,,,,,,,,6 g,,,17 g,,2.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.89,AH Chia smoothie mango ananas spinazie,"250 mlPrijs per LT € 7,56",Nutri-Score C,False,True,,,0.4 g,196 kJ (46 kcal),,,,10 g,,,,,,0.4 g,,,,,,,,,,,,0.6 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,4.49,AH Biologisch Cranberry's,"200 gPrijs per KG € 22,45",Nutri-Score C,False,True,,,0.5 g,1390 kJ (330 kcal),,,,74 g,,,,,,2 g,,,,,,,,,,,,6 g,,,1.5 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.89,AH Gemarineerde artisjok,"280 gPrijs per KG € 10,32",Nutri-Score C,True,True,,,1.2 g,150 kJ (36 kcal),,,,3.6 g,,,,,,1.1 g,,,,,,,,,,,,3.4 g,,,0.9 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.19,AH Biologisch Kokosnoot,per stuk,Nutri-Score C,True,True,,,4 g,1711 kJ (416 kcal),,,,3 g,,,,,,40 g,,,,,,,,,,,,14 g,,,7 g,,31 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.89,AH Lekkere start,"250 mlPrijs per LT € 7,56",Nutri-Score C,False,True,,,1.8 g,239 kJ (56 kcal),,,,11 g,,,,,,0.2 g,,,,,,,,32.7 mg,,,,1.7 g,,,0.1 g,,0.07 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.89,AH Moment voor jezelf,"250 mlPrijs per LT € 7,56",Nutri-Score C,False,False,,,2.3 g,214 kJ (50 kcal),,,,9.9 g,,,,,,0 g,,,,,,,,,,,,0.8 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,4.99,AH Biologisch Blue thompson rozijnen,"500 gPrijs per KG € 9,98",Nutri-Score C,True,True,,,3.2 g,1372 kJ (324 kcal),,,,74 g,,,,,,0.7 g,,,,,,,,,,,,4.2 g,,,0.4 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,1.89,AH Na het sporten,"250 mlPrijs per LT € 7,56",Nutri-Score C,False,True,,,3.2 g,221 kJ (52 kcal),,,,9.3 g,,,,,,0 g,,,,,,,,8.6 mg,,,,1 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.79,Picard Samosa groente,"165 gPrijs per KG € 22,97",Nutri-Score C,False,False,,,3.7 g,1058 kJ (254 kcal),,,,25 g,,,,,,15 g,,,,,,,,,,,,1.9 g,,,,,2.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,2.59,AH Zongedroogde blue thompson rozijnen,"375 gPrijs per KG € 6,91",Nutri-Score C,True,True,,,3.3 g,1378 kJ (325 kcal),,,,75 g,,,,,,0.3 g,,,,,,,,,,,,4.5 g,,,0.08 g,,0.09 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ac,3.19,AH Medjoul dadels gedroogd,"175 gPrijs per KG € 18,23",Nutri-Score C,True,True,,,1.8 g,1367 kJ (322 kcal),,,,75 g,,,,,,0.2 g,,,,,,,,,,,,6.7 g,,,0.1 g,,0.1 g,,,
