Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
vlees-kip-vis-vega,4.99,AH Zalmfilet.,"ca. 170 gPrijs per KG € 29,35",Nutri-Score A,False,False,,,19 g,915 kJ (220 kcal),,,,0 g,,,,,,16 g,,,,,,,,,,,,0 g,,,14 g,,2.5 g,,,
vlees-kip-vis-vega,3.69,AH Biologisch Hamburger,2 stuks,Nutri-Score D,False,False,,,19 g,910 kJ (219 kcal),,,,1.8 g,,,,,,15 g,,,,,,,,,,,,0.2 g,,,6.7 g,,6.8 g,,,
vlees-kip-vis-vega,4.69,AH Biologisch Spekreepjes,"200 gPrijs per KG € 23,45",Nutri-Score E,False,False,,,16 g,1465 kJ (354 kcal),,,,0.5 g,,,,,,32 g,,,,,,,,,,,,0 g,,,20 g,,12 g,,,
vlees-kip-vis-vega,3.19,AH Ontbijtspek,"150 gPrijs per KG € 21,27",Nutri-Score E,False,False,,,18 g,1129 kJ (272 kcal),,,,0.5 g,,,,,,22 g,,,,,,,,,,,,0 g,,,14 g,,8 g,,,
vlees-kip-vis-vega,3.99,AH Chipolata worstjes,"8 stuksPrijs per KG € 13,30",Nutri-Score D,False,False,,,18 g,1040 kJ (250 kcal),,,,1.6 g,,,,,,19 g,,,,,,,,,,,,0.5 g,,,8.3 g,,8.5 g,,,
vlees-kip-vis-vega,1.91,Meester & Zn. Hamblokjes,"250 gPrijs per KG € 7,64",Nutri-Score D,False,False,,,14 g,625 kJ (150 kcal),,,,3.2 g,,,,,,9 g,,,,,,,,,,,,0 g,,,5.5 g,,3.3 g,,,
vlees-kip-vis-vega,3.95,Unox Gelderse xxl rookworst 2015,"375 gPrijs per KG € 10,53",,False,False,,,13 g,283 kcal (1183 kJ),,,,< 0.5 g,,,,,,26 g,,,,,,,,,,,,< 0.5 g,,,,,9.9 g,,,
vlees-kip-vis-vega,8.49,AH Scharrel kipdijfilet,"770 gPrijs per KG € 11,03",Nutri-Score A,False,False,,,20 g,655 kJ (157 kcal),,,,0 g,,,,,,8.5 g,,,,,,,,,,,,0 g,,,5.3 g,,2.9 g,,,
vlees-kip-vis-vega,8.69,AH Zalmfilet,"ca. 300 gPrijs per KG € 28,97",Nutri-Score A,False,False,,,19 g,915 kJ (220 kcal),,,,0 g,,,,,,16 g,,,,,,,,,,,,0 g,,,14 g,,2.5 g,,,
vlees-kip-vis-vega,5.49,Olav's Gerookte zalmfilet,"200 gPrijs per KG € 27,45",Nutri-Score D,False,False,,,21 g,764 kJ (183 kcal),,,,0 g,,,,,,11 g,,,,,,,,,,,,0 g,,,9 g,,1.5 g,,,
