Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Zoete aardappel stamppot verspakket,per stuk,Nutri-Score B,False,True,,,3.2 g,485 kJ (116 kcal),,,,12 g,,,,,,5.7 g,,,,,,,,,,,,2 g,,,3.7 g,,1.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Groentesoep verspakket,per stuk,Nutri-Score B,False,False,,,0.8 g,92 kJ (22 kcal),,,,3.6 g,,,,,,0.3 g,,,,,,,,,,,,0.8 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.29,AH Pasta funghi verspakket,per stuk,Nutri-Score B,True,True,,,4.5 g,551 kJ (132 kcal),,,,14 g,,,,,,6.1 g,,,,,,,,,,,,1.4 g,,,3.2 g,,2.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Zachte pruimen,"250 gPrijs per KG € 9,16",Nutri-Score B,True,True,,,2 g,1075 kJ (255 kcal),,,,57 g,,,,,,0.4 g,,,,,,,,,,,,7 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,4.49,AH Prei kerriesoep verspakket,per stuk,Nutri-Score B,False,True,,,0.9 g,243 kJ (58 kcal),,,,5.1 g,,,,,,3.6 g,,,,,,,,,,,,1 g,,,2.2 g,,1.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.89,AH Kleine salade couscous hummus,"200 gPrijs per KG € 14,45",Nutri-Score B,False,True,,,4.7 g,821 kJ (197 kcal),,,,14 g,,,,,,13 g,,,,,,,,,,,,2.8 g,,,10 g,,2.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,0.99,AH Rodekool met appel deelblokjes,"450 gPrijs per KG € 2,20",Nutri-Score B,True,True,,,1.6 g,243 kJ (58 kcal),,,,9.9 g,,,,,,0.9 g,,,,,,,,,,,,1.8 g,,,0.8 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.49,AH Dadels zonder pit,"250 gPrijs per KG € 9,96",Nutri-Score B,True,True,,,3.5 g,1255 kJ (296 kcal),,,,68 g,,,,,,0.2 g,,,,,,,,,,,,4 g,,,0 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,6.29,AH Gesneden verspakket zte aardappel stamp,"975 gPrijs per KG € 6,45",Nutri-Score B,False,False,,,3.8 g,493 kJ (118 kcal),,,,13 g,,,,,,5.2 g,,,,,,,,,,,,1.9 g,,,3 g,,2.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,4.99,AH Traybake Indiase pompoen verspakket,per stuk,Nutri-Score B,True,True,,,2.6 g,439 kJ (105 kcal),,,,15 g,,,,,,3.4 g,,,,,,,,,,,,1.8 g,,,2.6 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Zoete aardappelsoep verspakket,"1,3 kg",Nutri-Score B,True,True,,,0.7 g,254 kJ (61 kcal),,,,7.7 g,,,,,,2.7 g,,,,,,,,,,,,1.4 g,,,2.1 g,,0.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.59,AH Aardappelpartjes provencaals gekruid,"450 gPrijs per KG € 3,53",Nutri-Score B,True,True,,,2 g,367 kJ (87 kcal),,,,18 g,,,,,,0.3 g,,,,,,,,,,,,2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Goulashsoep verspakket,per stuk,Nutri-Score B,True,True,,,0.9 g,152 kJ (36 kcal),,,,5.1 g,,,,,,1.1 g,,,,,,,,,,,,1.1 g,,,0.8 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.39,AH Biologisch Medjoul dadels,"225 gPrijs per KG € 15,07",Nutri-Score B,True,True,,,2 g,1187 kJ (280 kcal),,,,64 g,,,,,696 mg,0.3 g,,,,,,,,,,,,6.7 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.89,AH Kleine slade biet geitenkaas,"200 gPrijs per KG € 14,45",Nutri-Score B,False,True,,,4.5 g,713 kJ (171 kcal),,,,12 g,,,,,,11 g,,,,,,,,,,,,3.2 g,,,7.7 g,,2.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.25,AH Zoete aardappel spread chili en madras,"175 gPrijs per KG € 12,86",Nutri-Score B,True,True,,,2.6 g,891 kJ (215 kcal),,,,13 g,,,,,,16 g,,,,,,,,,,,,4.2 g,,,13 g,,2 g,,,
