Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade,1.29,AH Ontbijtkoek gesneden,"475 gPrijs per KG € 2,72",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi217848/ah-ontbijtkoek-gesneden,,,2.8 g,1236 kJ (292 kcal),,,,66 g,,,,,,0.9 g,,,,,,,,,,,,4.1 g,,,0.8 g,,0.1 g,,
snoep-koek-chips-en-chocolade,1.85,Lay's Oven baked roasted paprika,"150 gPrijs per KG € 12,33",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi457644/lay-s-oven-baked-roasted-paprika,,,5.9 g,1850 kJ (440 kcal),,,,72 g,,,,,,13 g,,,,,,,,,,,,6.4 g,,,,,1.5 g,,
snoep-koek-chips-en-chocolade,2.99,AH Ongebrande walnoten,"200 gPrijs per KG € 14,95",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi397907/ah-ongebrande-walnoten,,,17 g,2874 kJ (697 kcal),78 µg,,,3.2 g,,150 mg,,,,67 g,,0.3 mg,,,,,,,,,,6.4 g,,,60 g,,6.9 g,,
snoep-koek-chips-en-chocolade,1.55,AH Bokkenpootjes,"200 gNormale prijs per KG € 7,75",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi517316/ah-bokkenpootjes,,,4.1 g,2118 kJ (506 kcal),,,,66 g,,,,,,24 g,,,,,,,,,,,,4.8 g,,,9.6 g,,14 g,,
snoep-koek-chips-en-chocolade,1.79,Lay's Max original flavour,"185 gPrijs per KG € 9,68",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi516967/lay-s-max-original-flavour,,,6.7 g,2184 kJ (524 kcal),,,,48 g,,,,,,33 g,,,,,,,,,,,,4.7 g,,,,,3.3 g,,
snoep-koek-chips-en-chocolade,1.75,Lay's Max smoky paprika,"185 gPrijs per KG € 9,46",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi516968/lay-s-max-smoky-paprika,,,6.6 g,2183 kJ (524 kcal),,,,48 g,,,,,,33 g,,,,,,,,,,,,4.8 g,,,,,3.3 g,,
snoep-koek-chips-en-chocolade,1.59,LU Mini crackers naturel,"250 gPrijs per KG € 6,36",,False,False,https://www.ah.nl/producten/product/wi62912/lu-mini-crackers-naturel,,,11 g,1841 kJ (437 kcal),,,,69 g,,,,,,12 g,,,,,,,,,,,,3.5 g,,,,,5.3 g,,
snoep-koek-chips-en-chocolade,2.15,Snelle Jelle Kruidkoek naturel 5-pack,"5 stuksPrijs per KG € 6,62",,False,False,https://www.ah.nl/producten/product/wi457697/snelle-jelle-kruidkoek-naturel-5-pack,,,2.4 g,1292 kJ (305 kcal),,,,69.7 g,,,,,,1 g,,,,,,,,,,,,3.5 g,,,,,0.2 g,,
snoep-koek-chips-en-chocolade,0.79,AH Tarwe bloem,"1 kgPrijs per KG € 0,79",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi36783/ah-tarwe-bloem,,,11 g,1480 kJ (349 kcal),,,,72 g,,,,,,1.1 g,,,,,,,,,,,,3.5 g,,,0.7 g,,0.2 g,,
snoep-koek-chips-en-chocolade,0.79,AH Zaans huisje melkchocolade,"125 gPrijs per KG € 6,32",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi480030/ah-zaans-huisje-melkchocolade,,,7 g,2139 kJ (511 kcal),,,,61 g,,,,,,26 g,,,,,,,,,,,,2.6 g,,,8.9 g,,16 g,,
snoep-koek-chips-en-chocolade,1.35,LU Bastogne orginal,"260 gNormale prijs per KG € 5,19",,False,False,https://www.ah.nl/producten/product/wi3640/lu-bastogne-orginal,,,4.7 g,485 kcal (2045 kJ),,,,71 g,,,,,,20 g,,,,,,,,,,,,2 g,,,,,9.8 g,,
snoep-koek-chips-en-chocolade,2.39,AH Cashew gezouten,"200 gPrijs per KG € 11,95",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi458823/ah-cashew-gezouten,,,19 g,2540 kJ (613 kcal),,,,22 g,,255 mg,,,,49 g,,,,,,,,,,,,3.8 g,,,36 g,,9.3 g,,
snoep-koek-chips-en-chocolade,1.99,Liga Evergreen krenten koeken,"225 gNormale prijs per KG € 8,84",,False,False,https://www.ah.nl/producten/product/wi3771/liga-evergreen-krenten-koeken,,240 mg,6.9 g,383 kcal (1612 kJ),,7.6 mg,,64 g,,,,,,9.1 g,,,,,,,1.1 mg,,,,,7.6 g,,,,,0.9 g,,
snoep-koek-chips-en-chocolade,1.19,AH Chips paprika,"250 gPrijs per KG € 4,76",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi448459/ah-chips-paprika,,,5.7 g,2234 kJ (536 kcal),,,,52 g,,,,,,33 g,,,,,,,,,,,,4 g,,,30 g,,3.4 g,,
snoep-koek-chips-en-chocolade,1.55,Hero B'tween mueslireep melkchocolade,"6 x 25 gPrijs per KG € 10,33",,False,False,https://www.ah.nl/producten/product/wi167428/hero-b-tween-mueslireep-melkchocolade,,,6.8 g,1910 kJ (455 kcal),,,,66 g,,,,,,18 g,,,,,,,,,,,,3.1 g,,,,,11 g,,
snoep-koek-chips-en-chocolade,1.89,Doritos Nacho cheese flavour,"170 gPrijs per KG € 11,12",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi57521/doritos-nacho-cheese-flavour,,,6.5 g,2092 kJ (501 kcal),,,,58 g,,,,,,26 g,,,,,,,,,,,,5.6 g,,,,,2.8 g,,
snoep-koek-chips-en-chocolade,1.39,AH Mini eierkoeken,8 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi201559/ah-mini-eierkoeken,,,6.4 g,1227 kJ (289 kcal),,,,61 g,,,,,,2 g,,,,,,,,,,,,0.9 g,,,1.2 g,,0.6 g,,
snoep-koek-chips-en-chocolade,1.79,Lay's Sensations Thai sweet chilli,"150 gPrijs per KG € 11,93",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi167333/lay-s-sensations-thai-sweet-chilli,,,6.5 g,1985 kJ (474 kcal),,,,60 g,,,,,,22 g,,,,,,,,,,,,4.8 g,,,,,2.2 g,,
snoep-koek-chips-en-chocolade,1.95,Sultana Fruitbiscuit bosvruchten,"218 gPrijs per KG € 8,94",,False,False,https://www.ah.nl/producten/product/wi98437/sultana-fruitbiscuit-bosvruchten,,,5.4 g,1597 kJ (379 kcal),,,,73.6 g,,,,,,7.3 g,,,,,,,,,,,,4.2 g,,,,,0.8 g,,
snoep-koek-chips-en-chocolade,0.99,LU Tuc original,"100 gPrijs per KG € 9,90",,False,False,https://www.ah.nl/producten/product/wi3256/lu-tuc-original,,,8.3 g,2021 kJ (482 kcal),,,,67 g,,,,,,19 g,,,,,,,,,,,,2.4 g,,,,,9 g,,
snoep-koek-chips-en-chocolade,0.99,AH Kaasstengels met Goudse kaas,"150 gPrijs per KG € 6,60",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi165098/ah-kaasstengels-met-goudse-kaas,,,13 g,2110 kJ (504 kcal),,,,57 g,,,,,,24 g,,,,,,,,,,,,4 g,,,6.4 g,,15 g,,
snoep-koek-chips-en-chocolade,1.85,Lay's Oven baked naturel flavour,"150 gPrijs per KG € 12,33",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi457645/lay-s-oven-baked-naturel-flavour,,,5.9 g,1860 kJ (442 kcal),,,,73 g,,,,,,13 g,,,,,,,,,,,,6.2 g,,,,,1.4 g,,
snoep-koek-chips-en-chocolade,3.99,Lay's Party mix,"396 gPrijs per KG € 10,08",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi506638/lay-s-party-mix,,,6.4 g,2244 kJ (538 kcal),,,,54 g,,,,,,32 g,,,,,,,,,,,,4.8 g,,,,,3.5 g,,
snoep-koek-chips-en-chocolade,0.76,AH Lange vingers,"200 gPrijs per KG € 3,80",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi1035/ah-lange-vingers,,,7.3 g,1668 kJ (394 kcal),,,,84 g,,,,,,2.9 g,,,,,,,,,,,,1.1 g,,,1.4 g,,0.6 g,,
snoep-koek-chips-en-chocolade,1.49,Barber Cream crackers,"300 gPrijs per KG € 4,97",,False,False,https://www.ah.nl/producten/product/wi225345/barber-cream-crackers,,,9.8 g,1883 kJ (447 kcal),,,,69.3 g,,,,,,13.8 g,,,,,,,,,,,,3.5 g,,,,,6.4 g,,
snoep-koek-chips-en-chocolade,0.79,AH Penny wafels,"150 gPrijs per KG € 5,27",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi378850/ah-penny-wafels,,,5.5 g,2367 kJ (569 kcal),,,,48 g,,,,,,39 g,,,,,,,,,,,,1.8 g,,,13 g,,25 g,,
snoep-koek-chips-en-chocolade,1.95,AH Rozijnen zongedroogd,"750 gPrijs per KG € 2,60",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi396924/ah-rozijnen-zongedroogd,,,3 g,1458 kJ (344 kcal),,,,80 g,,,,,,0.5 g,,,,,,,,,,,,3.5 g,,,0.2 g,,0.1 g,,
snoep-koek-chips-en-chocolade,1.18,AH Mini crackers naturel,"250 gPrijs per KG € 4,72",Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi32655/ah-mini-crackers-naturel,,,9.8 g,1820 kJ (432 kcal),,,,72 g,,,,,,11 g,,,,,,,,,,,,2.8 g,,,9.9 g,,1.1 g,,
snoep-koek-chips-en-chocolade,2.59,AH Notenmix ongebrand,"200 gPrijs per KG € 12,95",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi426102/ah-notenmix-ongebrand,,,20 g,2758 kJ (668 kcal),,,,6.1 g,,179.6 mg,,,,61 g,,,,,,,,,17.7 mg,,,7.1 g,,,53 g,,6.9 g,,
snoep-koek-chips-en-chocolade,1.45,AH Luikse wafels,"550 gPrijs per KG € 2,64",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi162652/ah-luikse-wafels,,,5.3 g,1999 kJ (478 kcal),,,,55 g,,,,,,26 g,,,,,,,,,,,,1.5 g,,,14 g,,11 g,,
snoep-koek-chips-en-chocolade,1.59,AH Ontbijtkoek volkoren gesneden,"475 gPrijs per KG € 3,35",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi217850/ah-ontbijtkoek-volkoren-gesneden,,,3.7 g,1177 kJ (279 kcal),,,,58 g,,,,,,1.3 g,,,,,,,,,,,,10 g,,,1.1 g,,0.2 g,,
snoep-koek-chips-en-chocolade,0.99,AH Pinda ongezouten,"250 gPrijs per KG € 3,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi467588/ah-pinda-ongezouten,,,27 g,2580 kJ (623 kcal),,,,9.7 g,,,,,,51 g,,,,,,,,,7 mg,,,8.6 g,,,43 g,,6.1 g,,
snoep-koek-chips-en-chocolade,1.09,Milka Reep alpenmelk,"100 gNormale prijs per KG € 10,90",,False,False,https://www.ah.nl/producten/product/wi1408/milka-reep-alpenmelk,,,6.5 g,2251 kJ (539 kcal),,,,57 g,,,,,,31 g,,,,,,,,,,,,2.3 g,,,,,19 g,,
