Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Biologisch Fairtrade bananen,5 stuks,Nutri-Score A,True,True,,,1.1 g,385 kJ (91 kcal),,,,20 g,,,,,374 mg,0.3 g,,,,,,,0.29 mg,,,,,1.9 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Conference schaal,"1 kgPrijs per KG € 1,99",Nutri-Score A,True,True,,,0.2 g,236 kJ (56 kcal),,,,12 g,,,,,,0.3 g,,,,,,,,,,,,2.2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,3.99,AH Blauwe bessen,"300 gNormale prijs per KG € 13,30",Nutri-Score A,True,True,,,0.7 g,218 kJ (52 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,19.3 µg,2.4 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.79,AH Tomaten,"500 gPrijs per KG € 3,58",Nutri-Score A,True,True,,,0.7 g,86 kJ (21 kcal),,,,2.9 g,,,,,,0.4 g,,,,,,,,15 mg,,,,1.3 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.79,AH Avocado eetrijp,2 stuks,Nutri-Score A,True,True,,,1.9 g,837 kJ (203 kcal),,,,1.8 g,0.1 mg,,,,377 mg,20 g,,,,,,,0.3 mg,,3.2 mg,,21 µg,4.3 g,,,17 g,,2.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.89,AH Mango,per stuk,Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.49,AH Biologisch Komkommer,per stuk,Nutri-Score A,True,True,,,0.7 g,54 kJ (13 kcal),,,,1.3 g,,,,,,0.4 g,,,,,,,,,,,,0.6 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.69,AH Bosui,per bosje,Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.69,AH Sweet palermo rode puntpaprika,"2 stuksPrijs per KG € 8,45",Nutri-Score A,True,True,,,0.8 g,105 kJ (25 kcal),41 µg,,,4.3 g,,,,,,0.1 g,,,,,,,0.29 mg,150 mg,3.1 mg,,,1.8 g,,,0.1 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.00,AH Rucola,"85 gPrijs per KG € 11,76",Nutri-Score A,True,True,,,3.6 g,91 kJ (22 kcal),,,,0 g,,,,,,0.4 g,,,,,,,,,,,,1.9 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Snoepgroente tomaat,"250 gNormale prijs per KG € 7,96",Nutri-Score A,True,True,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,4.29,AH Iets kruimige aardappel,"3 kgPrijs per KG € 1,43",Nutri-Score A,True,True,,,2 g,371 kJ (88 kcal),,,,19 g,,,,,450 mg,0 g,,,,,,,0.3 mg,14 mg,,,,1.8 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.09,AH Sperziebonen,"500 gPrijs per KG € 4,18",Nutri-Score A,True,True,,,2.5 g,110 kJ (27 kcal),,,,2 g,,,,,,0.2 g,,,,,,,,,,,14.4 µg,3.5 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.29,AH Middelgrote uien,"1 kgPrijs per KG € 1,29",Nutri-Score A,True,True,,,1.2 g,154 kJ (37 kcal),,,,6.6 g,,,,,,0.1 g,,,,,,,,,,,,2.2 g,0 g,0.1 g,,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.45,AH Witte champignons,"250 gPrijs per KG € 5,80",Nutri-Score A,True,True,,,2.3 g,76 kJ (18 kcal),,,,0.4 g,0.72 mg,,,,320 mg,0.5 g,,,,0.3 mg,0 mg,0 mg,,,,,,1.5 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.59,AH Geschrapte worteltjes grootverpakking,"500 gPrijs per KG € 3,18",Nutri-Score A,True,True,,,0.6 g,137 kJ (33 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,3 mg,,,,2.8 g,0 g,0.2 g,,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.19,AH Stamppot aardappelen,"600 gPrijs per KG € 1,98",Nutri-Score A,True,True,,,2.2 g,367 kJ (87 kcal),,,,18 g,,,,,,0.3 g,,,,,,,,,,,,1.6 g,0.1 g,0.1 g,,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.19,AH IJsbergsla,per krop,Nutri-Score A,False,False,0 g,,0.9 g,64 kJ (15 kcal),,,,1.7 g,,,,,,0.3 g,,,,,,,,,,,,1.1 g,0 g,0.3 g,0.3 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.39,AH Witlof,"4 stuksPrijs per KG € 4,16",Nutri-Score A,True,True,,,1.3 g,80 kJ (19 kcal),,,,2.4 g,,,,,,0.2 g,,,,,,,,,,,,1.2 g,,,0.2 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.99,AH Perssinaasappels,"2 kgPrijs per KG € 1,50",Nutri-Score A,False,False,,,0.8 g,201 kJ (48 kcal),32.6 µg,,,7.9 g,,,,,,1 g,,,,,,,,51 mg,,,,2 g,,,0.8 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.00,AH Geschrapte worteltjes,"300 gPrijs per KG € 3,33",Nutri-Score A,True,True,,,0.6 g,135 kJ (33 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,,,,,3 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.09,AH Aubergine,"per stukNormale prijs per KG € 3,96",Nutri-Score A,False,False,,,1 g,84 kJ (20 kcal),,,,3 g,,,,0 g,,0 g,,,,,,,,,,,,2 g,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.69,AH Iets kruimig,"1 kgPrijs per KG € 1,69",Nutri-Score A,True,True,,,2 g,373 kJ (88 kcal),,,,19 g,,,,,450 mg,0 g,,,,,,,0.3 mg,14 mg,,,,2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.65,AH Spinazie,"400 gPrijs per KG € 4,13",Nutri-Score A,True,True,,,3 g,105 kJ (25 kcal),130.9 µg,,,0.9 g,,,,,,0.6 g,,,,,,,,,,,,2 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.19,AH Roerbakgroente Italiaans,"400 gPrijs per KG € 5,48",Nutri-Score A,True,True,,,1.2 g,119 kJ (28 kcal),,,,4.3 g,,,,,,0.2 g,,,,,,,,,,,,2.3 g,,,0.1 g,,0.05 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.09,AH Winterpeen grootverpakking,"1 kgPrijs per KG € 1,09",Nutri-Score A,False,False,,,0.6 g,171 kJ (41 kcal),,,,5.7 g,,,,,,0.3 g,,,,,,,,,,,,3.3 g,0 g,0.2 g,,,0.1 g,,,
