Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,Davelaar Odekoeken,"380 gPrijs per KG € 7,87",,False,False,https://www.ah.nl/producten/product/wi509705/davelaar-odekoeken,Inhoud en gewicht20 Stuks20 stuks,,,4.3 g,2003 kJ (479 kcal),,,,58.9 g,,,,,,24.9 g,,,,,,,,,,,,0.9 g,,,13.6 g,,11.2 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,McVitie's Blissfuls milk chocolate & hazelnut,"228 gPrijs per KG € 13,11",,False,False,https://www.ah.nl/producten/product/wi514842/mcvitie-s-blissfuls-milk-chocolate-en-hazelnut,"Inhoud en gewicht228 GramPortiegrootte: Per biscuit (14,4 g)",,,8.2 g,2054 kJ (491 kcal),,,,59 g,,,,,,24 g,,,,,,,,,,,,2.9 g,,,,,10 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,5.09,M&M'S Salted caramel maxi,"367 gPrijs per KG € 13,87",,False,False,https://www.ah.nl/producten/product/wi515674/m-en-m-s-salted-caramel-maxi,Inhoud en gewicht367 GramPortiegrootte: portiegrootte 40.8Aantal porties: 9,,,4.4 g,1992 kJ (474 kcal),,,,71 g,,,,,,18 g,,,,,,,,,,,,,,,,,11 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,6.49,Monin Coffee syrups set premium,"15 clPrijs per LT € 43,27",,False,False,https://www.ah.nl/producten/product/wi521141/monin-coffee-syrups-set-premium,Inhoud en gewicht15 Centiliterset 3x5clPortiegrootte: Vanille uit Madagaskar. Karamel. Hazelnoten,,,0 g,340 kcal (1422 kJ),,,,84.1 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,4.00,Van Delft Limoncello,"225 gPrijs per KG € 17,78",,False,False,https://www.ah.nl/producten/product/wi525299/van-delft-limoncello,Inhoud en gewicht225 Gram,,,5.1 g,1992 kJ (475 kcal),,,,69 g,,,,,,20 g,,,,,,,,,,,,,,,,,12 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.49,Matilde Vicenzi Amaretto di Matilde,"125 gPrijs per KG € 27,92",,False,False,https://www.ah.nl/producten/product/wi532260/matilde-vicenzi-amaretto-di-matilde,Inhoud en gewicht125 Gram,,,8.8 g,1951 kJ (466 kcal),,,,56 g,,,,,,22 g,,,,,,,,,,,,4 g,,,,,2.2 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,4.19,Tic Tac Festival Duo-pack,"98 gPrijs per KG € 42,76",,False,False,https://www.ah.nl/producten/product/wi438996/tic-tac-festival-duo-pack,Inhoud en gewicht2 Stuks. 98 Gram,,,0.1 g,1663 kJ (392 kcal),,,,94.3 g,,,,,,0.5 g,,,,,,,,,,,,,,,,,0.5 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.99,M&M'S Chocolade reep hazelnoot,"165 gPrijs per KG € 18,12",,False,False,https://www.ah.nl/producten/product/wi480921/m-en-m-s-chocolade-reep-hazelnoot,Inhoud en gewicht165 GramPortiegrootte: portiegrootte 20.6gAantal porties: 8,,,7.2 g,2292 kJ (549 kcal),,,,54 g,,,,,,33 g,,,,,,,,,,,,,,,,,19 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,3.45,Leentjes Strooi pret letters,"130 gPrijs per KG € 26,54",,False,False,https://www.ah.nl/producten/product/wi483466/leentjes-strooi-pret-letters,Inhoud en gewicht130 Gram,,,0.7 g,1750 kJ (413 kcal),,,,96 g,,,,,,3.1 g,,,,,,,,,,,,,,,,,1.6 g,,
snoep-koek-chips-en-chocolade?minPrice=2.60&maxPrice=99,2.95,Smaakt Proteïne cracker rozemarijn,"200 gPrijs per KG € 14,75",,False,False,https://www.ah.nl/producten/product/wi485153/smaakt-proteine-cracker-rozemarijn,Inhoud en gewicht200 Gram,,,25 g,2012 kJ (484 kcal),,,,17 g,,,,,,33 g,,,,,,,,,,,,11 g,,,,,3.7 g,,
