Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
pasta-rijst-en-wereldkeuken,1.99,AH Pizzadeeg tomatensaus,"600 gPrijs per KG € 3,32",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi134027/ah-pizzadeeg-tomatensaus,,,6.7 g,796 kJ (189 kcal),,,,30 g,,,,,,3.4 g,,,,,,,,,,,,2.2 g,,,2.9 g,,0.5 g,,
pasta-rijst-en-wereldkeuken,0.49,Consar Tomato paste,"140 gPrijs per KG € 3,50",,False,False,https://www.ah.nl/producten/product/wi525032/consar-tomato-paste,,,4.5 g,383 kJ (90 kcal),,,,16 g,,,,,,0.4 g,,,,,,,,,,,,2.4 g,,,,,0 g,,
pasta-rijst-en-wereldkeuken,1.59,Unox Kip good noodles,"65 gPrijs per KG € 24,46",,False,False,https://www.ah.nl/producten/product/wi99084/unox-kip-good-noodles,,,2 g,348 kJ (83 kcal),,,,11 g,,,,,,3.3 g,,,,,,,,,,,,0.7 g,,,,,1.6 g,,
pasta-rijst-en-wereldkeuken,2.29,AH Verse tagliatelle all'uovo,"250 gPrijs per KG € 9,16",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi56027/ah-verse-tagliatelle-all-uovo,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
pasta-rijst-en-wereldkeuken,0.99,AH Penne,"500 gPrijs per KG € 1,98",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi62027/ah-penne,,,13 g,1515 kJ (357 kcal),,,,72 g,,,,,,1.3 g,,,,,,,,,,,,2.7 g,,,1 g,,0.3 g,,
pasta-rijst-en-wereldkeuken,1.89,Doritos Nacho cheese flavour,"170 gPrijs per KG € 11,12",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi57521/doritos-nacho-cheese-flavour,,,6.5 g,2092 kJ (501 kcal),,,,58 g,,,,,,26 g,,,,,,,,,,,,5.6 g,,,,,2.8 g,,
pasta-rijst-en-wereldkeuken,0.89,AH Bladerdeeg,"10 plakjesPrijs per KG € 1,98",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi1241/ah-bladerdeeg,,,5.8 g,1445 kJ (346 kcal),,,,37 g,,,,,,19 g,,,,,,,,,,,,1.8 g,,,9.4 g,,9.2 g,,
pasta-rijst-en-wereldkeuken,2.15,AH Basmatirijst,"1 kgPrijs per KG € 2,15",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi197585/ah-basmatirijst,,,9 g,1526 kJ (360 kcal),,,,77 g,,,,,,1.3 g,,,,,,,,,,,,2 g,,,1 g,,0.3 g,,
pasta-rijst-en-wereldkeuken,0.89,AH Tortilla naturel wraps,"6 stuksPrijs per KG € 2,41",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi140637/ah-tortilla-naturel-wraps,,,8.7 g,1327 kJ (315 kcal),,,,54 g,,,,,,6.1 g,,,,,,,,,,,,4.4 g,,,4.8 g,,1.1 g,,
pasta-rijst-en-wereldkeuken,0.69,AH Gepelde tomaten,"400 gPrijs per KG € 1,73",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi803/ah-gepelde-tomaten,,,1.1 g,95 kJ (23 kcal),,,,3.6 g,,,,,,0.2 g,,,,,,,,,,,,1 g,0.02 g,0.1 g,0.2 g,,0.08 g,,
