Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie,0.66,AH Kidneybonen,"400 gPrijs per KG € 2,64",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi30428/ah-kidneybonen,,,8.4 g,429 kJ (102 kcal),,,,12 g,,,,,,0.8 g,,,,,,,,,,,,6.6 g,,,0.2 g,,0.3 g,,
soepen-sauzen-kruiden-olie,0.95,AH Biologisch Knoflook,"100 gPrijs per KG € 9,50",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi185774/ah-biologisch-knoflook,,,6 g,585 kJ (140 kcal),,,,28 g,,,,,,0 g,,,,,,,,,,,,0.9 g,,,0 g,,0 g,,
soepen-sauzen-kruiden-olie,6.29,AH Olijfolie traditioneel,"1 lPrijs per LT € 6,29",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi58055/ah-olijfolie-traditioneel,,,0 g,3367 kJ (819 kcal),,,,0 g,,,,,,91 g,,,,,,,,,,,,0 g,,,77 g,,14 g,,
soepen-sauzen-kruiden-olie,1.39,Van Wijngaarden's Zaanse mayonaise,"200 mlPrijs per LT € 6,95",,False,False,https://www.ah.nl/producten/product/wi519391/van-wijngaarden-s-zaanse-mayonaise,,,1.2 g,3029 kJ (735 kcal),,,,1.4 g,,,,,,80.4 g,,,,,,,,,,,,,50.3 g,23 g,,,6.4 g,,
soepen-sauzen-kruiden-olie,0.49,Consar Tomato paste,"140 gPrijs per KG € 3,50",,False,False,https://www.ah.nl/producten/product/wi525032/consar-tomato-paste,,,4.5 g,383 kJ (90 kcal),,,,16 g,,,,,,0.4 g,,,,,,,,,,,,2.4 g,,,,,0 g,,
soepen-sauzen-kruiden-olie,1.39,AH Munt grootverpakking,"40 gPrijs per KG € 34,75",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi207061/ah-munt-grootverpakking,,,3.8 g,205 kJ (49 kcal),,,,5.1 g,,,,,,0.7 g,,,,,,,,,,,,3.5 g,,,0.5 g,,0.2 g,,
soepen-sauzen-kruiden-olie,1.59,Unox Kip good noodles,"65 gPrijs per KG € 24,46",,False,False,https://www.ah.nl/producten/product/wi99084/unox-kip-good-noodles,,,2 g,348 kJ (83 kcal),,,,11 g,,,,,,3.3 g,,,,,,,,,,,,0.7 g,,,,,1.6 g,,
soepen-sauzen-kruiden-olie,1.39,Statesman Tonijn stukken in water,"160 gPrijs per KG € 12,41",,False,False,https://www.ah.nl/producten/product/wi420789/statesman-tonijn-stukken-in-water,,,23.5 g,418 kJ (99 kcal),,,,< 0.1 g,,,,,,0.5 g,,,,,,,,,,,,,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,3.59,Van Wijngaarden's Zaanse mayonaise,"0,75 lPrijs per LT € 4,79",,False,False,https://www.ah.nl/producten/product/wi496580/van-wijngaarden-s-zaanse-mayonaise,,,1.2 g,3029 kJ (735 kcal),,,,1.4 g,,,,,,80.4 g,,,,,,,,,,,,,50.3 g,23 g,,,6.4 g,,
soepen-sauzen-kruiden-olie,1.59,Hak Doperwtjes met worteltjes,"350 gPrijs per KG € 6,91",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi195105/hak-doperwtjes-met-worteltjes,,,2.2 g,206 kJ (49 kcal),,,,7.8 g,,,,,,0.2 g,,,,,,,,,,,,3.6 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,1.85,Heinz Tomaten ketchup,"400 mlPrijs per LT € 4,63",,False,False,https://www.ah.nl/producten/product/wi216494/heinz-tomaten-ketchup,,,1.2 g,435 kJ (102 kcal),,,,23.2 g,,,,,,0.1 g,,,,,,,,,,,,,,,,,< 0.1 g,,
soepen-sauzen-kruiden-olie,0.69,AH Gepelde tomaten,"400 gPrijs per KG € 1,73",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi803/ah-gepelde-tomaten,,,1.1 g,95 kJ (23 kcal),,,,3.6 g,,,,,,0.2 g,,,,,,,,,,,,1 g,0.02 g,0.1 g,0.2 g,,0.08 g,,
soepen-sauzen-kruiden-olie,1.75,Hak Doperwtjes extra fijn,"350 gPrijs per KG € 7,61",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi195104/hak-doperwtjes-extra-fijn,,,4 g,290 kJ (69 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,,4.5 g,,,,,0 g,,
soepen-sauzen-kruiden-olie,1.19,AH Koriander,"15 gPrijs per KG € 79,33",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi238968/ah-koriander,,40 mg,4 g,158 kJ (38 kcal),,10 mg,,1 g,,,,,,0 g,,,,0.3 mg,,,0.1 mg,125 mg,,,,9.1 g,,,,,0 g,0.9 mg,
soepen-sauzen-kruiden-olie,1.49,AH Mais,"340 gPrijs per KG € 4,38",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi509321/ah-mais,,,2.5 g,299 kJ (71 kcal),,,,11 g,,,,,,1.2 g,,,,,,,,,,,,3.1 g,,,0.9 g,,0.3 g,,
soepen-sauzen-kruiden-olie,0.69,Unox Good noodles groente,"per stukPrijs per KG € 9,86",,False,False,https://www.ah.nl/producten/product/wi99089/unox-good-noodles-groente,,,1.6 g,384 kJ (92 kcal),,,,11 g,,,,,,4.1 g,,,,,,,,,,,,< 0.5 g,,,,,2.1 g,,
soepen-sauzen-kruiden-olie,1.19,AH Platte peterselie,"15 gPrijs per KG € 79,33",,False,False,https://www.ah.nl/producten/product/wi238971/ah-platte-peterselie,0 g,,4 g,125 kJ (30 kcal),,,,1 g,,,,,,0 g,,,,,,,,,,,,5 g,0 g,0 g,0 g,,0 g,,
soepen-sauzen-kruiden-olie,1.95,Hak Witte bonen in tomatensaus,"360 gPrijs per KG € 5,42",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi202196/hak-witte-bonen-in-tomatensaus,,,5 g,364 kJ (87 kcal),,,,12.1 g,,,,,,0.6 g,,,,,,,,,,,,6.2 g,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,2.69,Unox Romige tomatencrèmesoep,"570 mlNormale prijs per LT € 4,72",,False,False,https://www.ah.nl/producten/product/wi123848/unox-romige-tomatencremesoep,,,1.2 g,56 kcal (232 kJ),,,,6 g,,,,,,2.8 g,,,,,,,,,,,,< 0.5 g,,,,,0.5 g,,
soepen-sauzen-kruiden-olie,1.19,AH Pastasaus classic,"520 gNormale prijs per KG € 2,29",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi416669/ah-pastasaus-classic,,,1 g,196 kJ (47 kcal),,,,7.5 g,,,,,,1.2 g,,,,,,,,,,,,0.9 g,,,1.1 g,,0.1 g,,
soepen-sauzen-kruiden-olie,1.75,Hak Rode kool met stukjes appel,"355 gPrijs per KG € 4,93",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi207330/hak-rode-kool-met-stukjes-appel,,,0.7 g,204 kJ (48 kcal),,,,10.2 g,,,,,,0 g,,,,,,,,,,,,1.6 g,,,,,0 g,,
