Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.99,Unox Gelderse rookworst,"285 gNormale prijs per KG € 10,49",,False,False,https://www.ah.nl/producten/product/wi367557/unox-gelderse-rookworst,Inhoud en gewicht285 GramAantal porties: 3,,,13 g,283 kcal (1183 kJ),,,,< 0.5 g,,,,,,26 g,,,,,,,,,,,,< 0.5 g,,,,,9.9 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,3.95,Unox Gelderse xxl rookworst 2015,"375 gNormale prijs per KG € 10,53",,False,False,https://www.ah.nl/producten/product/wi367558/unox-gelderse-xxl-rookworst-2015,Inhoud en gewicht375 GramAantal porties: 3,,,13 g,283 kcal (1183 kJ),,,,< 0.5 g,,,,,,26 g,,,,,,,,,,,,< 0.5 g,,,,,9.9 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,3.25,AH Groene pesto,"90 gPrijs per KG € 36,11",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi217297/ah-groene-pesto,Inhoud en gewicht90 GramPortiegrootte: 10 gramAantal porties: 9,,,6.1 g,2404 kJ (583 kcal),,,,4 g,,,,,,60 g,,,,,,,,,,,,1.5 g,,,49 g,,8.8 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.39,AH Verse tagliatelle all'uovo,"250 gPrijs per KG € 9,56",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi56027/ah-verse-tagliatelle-all-uovo,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,3.96,AH Kokosmelk 4-pack,per pakket,,False,False,https://www.ah.nl/producten/product/wi545537/ah-kokosmelk-4-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.25,AH Hummus naturel,"175 gPrijs per KG € 12,86",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi217309/ah-hummus-naturel,Inhoud en gewicht175 GramPortiegrootte: 10 gramAantal porties: 18,,,7.8 g,988 kJ (239 kcal),,,,5.5 g,,,,,,18 g,,,,,,,,,,,,12 g,,,15 g,,2.4 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.39,AH Verse spaghetti all'uovo,"250 gPrijs per KG € 9,56",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi168206/ah-verse-spaghetti-all-uovo,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,,,10 g,1205 kJ (285 kcal),,,,53 g,,,,,,3 g,,,,,,,,,,,,2.9 g,,,2.2 g,,0.8 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.35,AH Basmatirijst,"1 kgPrijs per KG € 2,35",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi197585/ah-basmatirijst,Inhoud en gewicht1 KilogramPortiegrootte: 75 gramAantal porties: 13.5,,,9 g,1526 kJ (360 kcal),,,,77 g,,,,,,1.3 g,,,,,,,,,,,,2 g,,,1 g,,0.3 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.25,AH Groene olijven met knoflook,"130 gPrijs per KG € 17,31",Nutri-Score D,True,True,https://www.ah.nl/producten/product/wi217335/ah-groene-olijven-met-knoflook,Inhoud en gewicht130 GramPortiegrootte: 20 gramAantal porties: 6.5,,,1.1 g,1039 kJ (252 kcal),,,,2.1 g,,,,,,26 g,,,,,,,,,,,,2.8 g,,,22 g,,3.5 g,,
pasta-rijst-en-wereldkeuken?minPrice=2&maxPrice=3.99,2.09,Santa Maria Tortilla wraps medium,"8 stuksNormale prijs per KG € 6,53",,True,True,https://www.ah.nl/producten/product/wi417523/santa-maria-tortilla-wraps-medium,Inhoud en gewicht8 Stuks. 320 Gram,,,8.3 g,1277 kJ (302 kcal),,,,55 g,,,,,,4.9 g,,,,,,,,,,,,2.5 g,,,,,1.2 g,,
