Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,1.00,AH Ginger passion,"125 mlNormale prijs per LT € 8,00",Nutri-Score E,False,True,,,0.4 g,195 kJ (46 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,,0.2 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,1.09,AH Smoothie proteine mango passievrucht,"250 mlPrijs per LT € 4,36",Nutri-Score E,True,True,,,3.5 g,280 kJ (66 kcal),,,,9.2 g,,,,,,1.6 g,,,,,,,,,,,,0.6 g,,,0.1 g,,1.5 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,1.09,AH Smoothie proteine rood fruit,"250 mlPrijs per LT € 4,36",Nutri-Score E,True,True,,,3.4 g,274 kJ (65 kcal),,,,9.4 g,,,,,,1.3 g,,,,,,,,,,,,1 g,,,0.1 g,,1.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,2.49,AH Yoghurt smoothie peer aardbei framb avoc,"0,5 lPrijs per LT € 4,98",Nutri-Score E,False,True,,,2.1 g,230 kJ (54 kcal),,,,10 g,,,,,,0.5 g,,,,,,,,7.5 mg,,,,0.7 g,,,0.3 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,1.89,AH Verse smoothie aardbei blauwe bes appel,"250 mlPrijs per LT € 7,56",Nutri-Score E,False,True,,,2.1 g,227 kJ (53 kcal),,,,11 g,,,,,,0 g,,,,,,,,6.4 mg,,,,0.5 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,1.89,AH Verse smoothie kokos ananas kurkuma,"250 mlPrijs per LT € 7,56",Nutri-Score E,False,True,,,2.1 g,242 kJ (57 kcal),,,,11 g,,,,,,0.4 g,,,,,,,,17.7 mg,,,,0.5 g,,,0 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ae,2.49,AH Yoghurt smooth appel bosvruchten avocado,"0,5 lPrijs per LT € 4,98",Nutri-Score E,False,True,,,2.2 g,263 kJ (62 kcal),,,,11 g,,,,,,0.8 g,,,,,,,,12.9 mg,,,,1.1 g,,,0.5 g,,0.3 g,,,
