Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
kaas-vleeswaren-tapas,1.35,ERU Kids,"100 gPrijs per KG € 13,50",,False,False,,800 mg,15 g,699 kJ (168 kcal),,,,22 g,,,,535 mg,,11 g,,,,,,,,,,,,,,,,,7.5 g,,,
kaas-vleeswaren-tapas,1.90,AH Gekookte gelderse worst,"ca. 146 gNormale prijs per KG € 12,99",Nutri-Score E,False,False,,,12 g,1251 kJ (302 kcal),,,,2.8 g,,,,,,27 g,,,,,,,,,,,,0 g,,,17 g,,9.7 g,,,
kaas-vleeswaren-tapas,1.29,ERU Goudkuipje naturel,"100 gPrijs per KG € 12,90",,False,False,,,14 g,1007 kJ (243 kcal),,,,1.7 g,,,,,,20 g,,,,,,,,,,,,,,,,,14 g,,,
kaas-vleeswaren-tapas,1.59,AH Filet americain naturel,"150 gPrijs per KG € 10,60",Nutri-Score D,False,False,,,14 g,1094 kJ (264 kcal),,,,2.3 g,,,,,,22 g,,,,,,,,,,,,0.4 g,,,17 g,,4.3 g,,,
kaas-vleeswaren-tapas,2.39,ERU Goudkuipje naturel,"200 gPrijs per KG € 11,95",,False,False,,,14 g,1007 kJ (243 kcal),,,,1.7 g,,,,,,20 g,,,,,,,,,,,,,,,,,14 g,,,
kaas-vleeswaren-tapas,3.72,AH Zaanlander Jong belegen 48+ plakken,"ca. 210 gPrijs per KG € 17,79",Nutri-Score D,False,True,,,24 g,1555 kJ (375 kcal),,,,0 g,,,,,,31 g,,,,,,,,,,,,0 g,,,11 g,,19 g,,,
kaas-vleeswaren-tapas,3.29,AH Scharrel gebraden kipfilet,"ca. 125 gPrijs per KG € 26,29",Nutri-Score C,False,False,,,20 g,460 kJ (109 kcal),,,,1.8 g,,,,,,2.3 g,,,,,,,,,,,,0.5 g,,,1.5 g,,0.8 g,,,
kaas-vleeswaren-tapas,2.99,AH Roasted kipfilet,"ca. 110 gPrijs per KG € 27,18",,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaas-vleeswaren-tapas,1.79,Galbani Mozzarella,"125 gPrijs per KG € 14,32",,False,False,,,17 g,989 kJ (238 kcal),,,,2 g,,,,,,18 g,,,,,,,,,,,,,,,,,13 g,,,
kaas-vleeswaren-tapas,3.15,AH Roasted ham,"ca. 105 gPrijs per KG € 29,99",,False,False,,,23 g,704 kJ (168 kcal),,,,1 g,,,,,,8 g,,,,,,,,,,,,,,,,,3.5 g,,,
kaas-vleeswaren-tapas,1.79,Meester & Zn. Cervelaat,"150 gPrijs per KG € 11,93",Nutri-Score E,False,False,,,20 g,1718 kJ (415 kcal),,,,0.5 g,,,,,,37 g,,,,,,,,,,,,0 g,,,24 g,,13 g,,,
