Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Content,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.39,Arla Skyr vanille yoghurt 0% fat XL,"1 kgPrijs per KG € 4,39",,False,False,https://www.ah.nl/producten/product/wi486417/arla-skyr-vanille-yoghurt-0-fat-xl,Inhoud en gewicht1000 Gram,,,9.1 g,316 kJ (74 kcal),,,,8.3 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.99,Ola Split,9 stuks,,False,False,https://www.ah.nl/producten/product/wi163522/ola-split,Inhoud en gewicht600 MilliliterAantal porties: 9,,,1.5 g,110 kcal (480 kJ),,,,20 g,,,,,,3 g,,,,,,,,,,,,,,,,,2.5 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,7.14,AH Halfvolle melk 6-pack,per stuk,,False,False,https://www.ah.nl/producten/product/wi523167/ah-halfvolle-melk-6-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.29,Campina Volle kwark naturel,"1 kgPrijs per KG € 4,29",,False,False,https://www.ah.nl/producten/product/wi498201/campina-volle-kwark-naturel,Inhoud en gewicht1 KilogramPortiegrootte: Per portie 100 g,,,8.2 g,507 kJ (122 kcal),,,,2.7 g,,,,,,8.8 g,,,,,,,,,,,,,,,,,5.6 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.99,Fage Total Griekse yoghurt 5%,"1 kgPrijs per KG € 4,99",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi475496/fage-total-griekse-yoghurt-5,Inhoud en gewicht1000 Gram,,121 mg,9 g,389 kJ (93 kcal),,,,3 g,,,,,,5 g,,,,,,,,,,,,,,,,,3.6 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,6.99,Ben & Jerry's Cookie dough,"465 mlPrijs per LT € 15,03",,False,False,https://www.ah.nl/producten/product/wi98976/ben-en-jerry-s-cookie-dough,Inhoud en gewicht465 Milliliter. 406 GramAantal porties: 5,,,3.5 g,235 kcal (984 kJ),,,,27 g,,,,,,13 g,,,,,,,,,,,,,,,,,8 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.15,Becel Proactiv original cholesterolverlagend,"250 gPrijs per KG € 16,60",,False,False,https://www.ah.nl/producten/product/wi67880/becel-proactiv-original-cholesterolverlagend,Inhoud en gewicht250 GramPortiegrootte: 1 portie = 10 gAantal porties: 25,,,< 0.5 g,1483 kJ (355 kcal),,,,< 0.5 g,,,,,,40 g,800 µg,0.83 mg,,,,,,,20 mg,,,,,,,,9.1 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,6.49,Yakult Original 15-pack,15 x 65 ml,,False,False,https://www.ah.nl/producten/product/wi132886/yakult-original-15-pack,Inhoud en gewicht15 Stuks. 975 Milliliter15x65mlPortiegrootte: 65 ml flesje,,,1.3 g,280 kJ (66 kcal),,,,15.4 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,6.49,Campina Langlekker volle melk voordeel 4-pack,"4 lPrijs per LT € 1,62",,False,False,https://www.ah.nl/producten/product/wi468593/campina-langlekker-volle-melk-voordeel-4-pack,Inhoud en gewicht4 Stuks. 4 Liter4 x 1 lPortiegrootte: Per portie 200ml,,120 mg,3.6 g,278 kJ (66 kcal),,,,4.7 g,,,,,150 mg,3.6 g,,,,0.14 mg,,,,,,,,,,,,,2.5 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.59,Becel Romig margarine,"500 gPrijs per KG € 9,18",,False,False,https://www.ah.nl/producten/product/wi532239/becel-romig-margarine,Inhoud en gewicht500 Gram,,,< 0.5 g,2222 kJ (539 kcal),,,,< 0.5 g,,,,,,60 g,800 µg,1.1 mg,180 µg,1.4 mg,,,1.4 mg,,16 mg,,,,23 g,25 g,,,12 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,7.59,Becel Proactiv original cholesterolverlagend,"500 gPrijs per KG € 15,18",,False,False,https://www.ah.nl/producten/product/wi206500/becel-proactiv-original-cholesterolverlagend,Inhoud en gewicht500 Gram,,,< 0.5 g,1483 kJ (355 kcal),,,,< 0.5 g,,,,,,40 g,800 µg,0.83 mg,,,,,,,20 mg,,,,,,,,8.9 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.39,Magnum Mini double gold caramel,6 stuks,,False,False,https://www.ah.nl/producten/product/wi494037/magnum-mini-double-gold-caramel,Inhoud en gewicht330 Milliliter. 282 GramAantal porties: 6,,,4.7 g,1433 kJ (343 kcal),,,,38 g,,,,,,19 g,,,,,,,,,,,,,,,,,12 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.99,Fage Total Griekse yoghurt 0%,"1 kgPrijs per KG € 4,99",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi475092/fage-total-griekse-yoghurt-0,Inhoud en gewicht1000 Gram,,120 mg,10.3 g,230 kJ (54 kcal),,,,3 g,,,,,,0 g,,,,,,,,,,,,,,,,,0 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,13.74,Chocomel halfvol 6 liter voordeel pakket,per pakket,,False,False,https://www.ah.nl/producten/product/wi540597/chocomel-halfvol-6-liter-voordeel-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,16.95,Campina Langlekker halfvolle melk,"12 x 1 lPrijs per LT € 1,41",,False,False,https://www.ah.nl/producten/product/wi505322/campina-langlekker-halfvolle-melk,Inhoud en gewicht1 LiterPortiegrootte: Per portie 200ml,,120 mg,3.7 g,204 kJ (48 kcal),,,,4.8 g,,,,,150 mg,1.5 g,,,,0.14 mg,,,,,,,,,,,,,1.1 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.05,Actimel Drinkyoghurt aardbei,"8 x 100 mlPrijs per LT € 5,06",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi223532/actimel-drinkyoghurt-aardbei,Inhoud en gewicht800 GramAantal porties: 8,,120 mg,2.8 g,323 kJ (76 kcal),,,,12 g,,,,,,1.5 g,,,,,,,0.21 mg,,,,,< 0.1 g,,,,,1 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,5.29,Becel Met roomboter,"400 gPrijs per KG € 13,23",,False,False,https://www.ah.nl/producten/product/wi451196/becel-met-roomboter,Inhoud en gewicht400 Gram,,,< 0.5 g,2622 kJ (635 kcal),,,,0.6 g,,,,,,70 g,800 µg,,,,,,,,,,,,,,,,20 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,17.69,Campina Langlekker volle melk,"12 x 1 lPrijs per LT € 1,47",,False,False,https://www.ah.nl/producten/product/wi505324/campina-langlekker-volle-melk,Inhoud en gewicht1 LiterPortiegrootte: Per portie 200ml,,120 mg,3.6 g,278 kJ (66 kcal),,,,4.7 g,,,,,150 mg,3.6 g,,,,0.14 mg,,,,,,,,,,,,,2.5 g,,
zuivel-plantaardig-en-eieren?minPrice=4&maxPrice=99,4.69,Magnum Mini almond,6 stuks,,False,False,https://www.ah.nl/producten/product/wi162681/magnum-mini-almond,Inhoud en gewicht6 Stuks. 330 MilliliterAantal porties: 6,,,4.7 g,337 kcal (1411 kJ),,,,32 g,,,,,,21 g,,,,,,,,,,,,,,,,,13 g,,
